,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
26,Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,1,1,0,1,0,0,2,0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0
28,Michail Antonio\Michail-Antonio,FW,West Ham,21.9,0.64,0.37,0.05,0.32,0.27,0.09,0.41,22.2,0.32,11.6,2.97,25.6,0.87,4.2,6.53,1.14,0.41,0,0.73,0.41,1.05,0.37,0
29,Alphonse Areola\Alphonse-Areola,GK,Fulham,36,0.03,0.03,0.03,0,0,0.03,0.14,20,0.11,0.14,0,0,0.14,0,0,0,0,0,0,0,0.03,0,0.03
30,Stuart Armstrong\Stuart-Armstrong,MF,Southampton,30.7,2.28,1.34,0.88,0.98,0.42,0.98,2.61,37.5,1.63,15.9,4.59,28.8,5.41,7,3.52,1.01,0.03,0,0.98,0.98,3.26,0.68,0.03
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,6.5,0,0,0,0,0,0,0.15,0,0.15,0.31,0,0,0.31,0,0,0,0,0,0,0,0,0,0.62
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,25.9,0.66,0.19,0.31,0.27,0.08,0.15,0.77,20,0.62,13.3,3.2,24.1,2.2,5.56,5.52,1,0.08,0,0.93,0.23,0.89,0.54,0
33,Serge Aurier\Serge-Aurier,DF,Tottenham,17.8,4.1,2.13,2.53,1.29,0.28,1.18,2.87,41.2,1.69,21.6,6.29,29.2,11.8,7.08,2.7,2.42,0.34,0,2.08,1.35,5.45,2.92,0.11
34,Charlie Austin\Charlie-Austin,FW,West Brom,1.5,2.67,2,1.33,0.67,0.67,0.67,1.33,50,0.67,15.3,4.67,30.4,3.33,5.33,6.67,0,0,0,0,1.33,4,2,0
35,Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,23.3,2.23,1.42,0.34,1.2,0.69,0.6,1.93,31.1,1.33,29.1,6.82,23.5,6.14,14.9,8.07,1.24,0.09,0,1.16,1.24,3.48,0.52,0
36,Luke Ayling\Luke-Ayling,DF,Leeds United,37.8,3.02,1.77,1.85,0.9,0.26,1.11,2.35,47.2,1.24,14.1,4.95,35.1,7.49,5.21,1.4,2.14,0.9,0.03,1.24,1.53,4.55,2.94,0.05
37,César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,24.3,2.14,1.28,0.95,0.95,0.25,0.86,1.44,60,0.58,14.2,4.36,30.6,6.3,5.8,2.14,1.52,0.29,0,1.23,1.52,3.66,3.99,0.04
38,Eric Bailly\Eric-Bailly,DF,Manchester Utd,10.2,0.88,0.59,0.49,0.29,0.1,0.1,0.1,100,0,5.39,2.16,40,2.65,2.55,0.2,1.67,1.47,0,0.2,2.16,3.04,5,0
39,Fabián Balbuena\Fabian-Balbuena,DF,West Ham,13.3,1.8,1.05,1.5,0.3,0,0.9,1.8,50,0.9,10.1,3.38,33.6,6.62,3.31,0.15,1.88,0.45,0.08,1.43,1.05,2.86,6.69,0.08
40,George Baldock\George-Baldock,DF,Sheffield Utd,31,1.77,0.87,1,0.55,0.23,0.77,1.58,49,0.81,15,3.65,24.4,6.39,5.61,2.97,1.48,0.26,0.03,1.23,1.13,2.9,2.65,0
41,Gareth Bale\Gareth-Bale,FW,Tottenham,10.2,1.37,0.88,0.39,0.59,0.39,0.39,1.27,30.8,0.88,12.3,3.33,27.2,2.65,5.29,4.31,1.57,0.2,0,1.37,0.88,2.25,1.67,0
42,Patrick Bamford\Patrick-Bamford,FW,Leeds United,33.9,0.77,0.53,0.18,0.35,0.24,0.18,0.88,20,0.71,17.8,5.07,28.4,0.97,7.7,9.17,0.47,0.27,0.03,0.21,0.38,1.15,1.03,0
43,Phil Bardsley\Phil-Bardsley,DF,Burnley,3,2,1.33,1.67,0.33,0,0.67,1.33,50,0.67,13,3,23.1,5.67,6.33,1,1.33,0.33,0,1,1,3,4.67,0
44,Ross Barkley\Ross-Barkley,MF,Aston Villa,17,0.35,0.12,0.12,0.24,0,0.18,0.71,25,0.53,14.4,3.41,23.7,2.06,8.41,3.94,1.12,0.12,0,1,0.29,0.65,0.47,0
45,Ross Barkley\Ross-Barkley,MF,Chelsea,0.5,0,0,0,0,0,0,0,,0,10,2,20,4,4,2,0,0,0,0,0,0,0,0
46,Ashley Barnes\Ashley-Barnes,FW,Burnley,14.8,1.08,0.41,0.14,0.47,0.47,0.27,0.81,33.3,0.54,13.6,3.51,25.7,1.62,5.2,6.82,1.01,0.2,0,0.81,0.34,1.42,0.61,0
47,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,21.6,1.02,0.65,0.42,0.28,0.32,0.19,0.88,21.1,0.69,10.5,3.19,30.4,2.82,4.21,3.47,1.11,0.19,0,0.93,0.74,1.76,0.6,0
48,Kyle Bartley\Kyle-Bartley,DF,West Brom,28.7,0.91,0.63,0.52,0.35,0.03,0.35,1.11,31.3,0.77,8.05,2.65,32.9,4.7,2.86,0.49,2.58,1.29,0.03,1.29,1.08,1.99,7.04,0.07
49,Chris Basham\Chris-Basham,DFMF,Sheffield Utd,28.6,2.66,1.61,1.68,0.77,0.21,1.29,2.45,52.9,1.15,13.4,4.02,30,7.03,4.79,1.57,1.71,0.52,0.17,1.19,1.57,4.23,4.34,0.03
50,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,8.1,0.37,0.37,0.12,0.25,0,0.25,1.11,22.2,0.86,13.5,2.59,19.3,0.99,6.67,5.8,1.23,0.12,0,1.11,0.25,0.62,0.62,0.12
51,Jan Bednarek\Jan-Bednarek,DF,Southampton,34.4,1.4,0.81,0.9,0.47,0.03,0.67,1.54,43.4,0.87,8.26,2.76,33.5,4.91,3.02,0.32,1.72,0.81,0.03,0.9,2.27,3.66,6.28,0.03
52,Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,5.8,2.07,1.55,0.52,1.03,0.52,0.52,2.24,23.1,1.72,18.1,5.52,30.5,3.62,10.2,4.31,1.9,0.17,0,1.72,1.21,3.28,1.55,0
53,Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23.2,1.47,0.78,0.78,0.56,0.13,0.52,1.77,29.3,1.25,9.61,2.67,27.8,3.75,4.31,1.55,2.16,0.39,0,1.77,0.56,2.03,1.77,0
54,Saïd Benrahma\Said-Benrahma,FWMF,West Ham,15.5,2,1.35,0.65,0.97,0.39,0.52,1.81,28.6,1.29,18.5,4.71,25.4,5.23,9.16,4.13,0.97,0,0,0.97,0.84,2.84,0.65,0
55,Josh Benson\Josh-Benson,MF,Burnley,2.9,2.76,1.72,1.72,0.34,0.69,1.38,2.76,50,1.38,12.4,4.14,33.3,5.17,5.86,1.38,1.03,0.34,0,0.69,0.34,3.1,0.69,0
