id,isResult,side,h/id,h/title,h/short_title,a/id,a/title,a/short_title,goals/h,goals/a,xG/h,xG/a,datetime,forecast/w,forecast/d,forecast/l,result
3477,true,h,88,Manchester City,MCI,76,West Bromwich Albion,WBA,3,1,2.58035,0.387741,2017-05-16 20:00:00,0.8450495341991943,0.11721524082955091,0.03773512180821249,w
3519,true,a,90,Watford,WAT,88,Manchester City,MCI,0,5,0.826124,3.26614,2017-05-21 15:00:00,0.059445851430674226,0.1029937092244333,0.8375585637652825,w
7126,true,a,220,Brighton,BRI,88,Manchester City,MCI,0,2,0.276343,1.86751,2017-08-12 17:30:00,0.04729383857990976,0.1859533045492745,0.7667528553045556,w
7138,true,h,88,Manchester City,MCI,72,Everton,EVE,1,1,1.14216,0.59971,2017-08-21 20:00:00,0.4892103256753019,0.317374977612564,0.19341469671020442,d
7139,true,a,73,Bournemouth,BOU,88,Manchester City,MCI,1,2,0.415402,1.76626,2017-08-26 12:30:00,0.080452322119983,0.2121402804255729,0.7074073967085769,w
7149,true,h,88,Manchester City,MCI,87,Liverpool,LIV,5,0,3.14589,0.665186,2017-09-09 12:30:00,0.8529626274827831,0.0990758731796111,0.047960305223834,w
7164,true,a,90,Watford,WAT,88,Manchester City,MCI,0,6,0.803933,3.99349,2017-09-16 15:00:00,0.03353994299607075,0.06532239522334325,0.9011180942218048,w
7173,true,h,88,Manchester City,MCI,78,Crystal Palace,CRY,5,0,5.72543,0.611018,2017-09-23 15:00:00,0.977523923306375,0.016019215455976787,0.005566484505023818,w
7185,true,a,80,Chelsea,CHE,88,Manchester City,MCI,0,1,0.911532,1.23068,2017-09-30 17:30:00,0.2736757130618148,0.2909640045617318,0.4353602823709295,w
7194,true,h,88,Manchester City,MCI,85,Stoke,STO,7,2,4.45388,0.681236,2017-10-14 15:00:00,0.9388842954563364,0.04284185786295476,0.01820800343764314,w
7202,true,h,88,Manchester City,MCI,92,Burnley,BUR,3,0,3.71812,0.14859,2017-10-21 15:00:00,0.9614625729614412,0.03418719743515903,0.004341594403558068,w
7215,true,a,76,West Bromwich Albion,WBA,88,Manchester City,MCI,2,3,1.11852,2.77085,2017-10-28 15:00:00,0.12738990737595068,0.15362858423049358,0.718981256709931,w
7228,true,h,88,Manchester City,MCI,83,Arsenal,ARS,3,1,2.15028,0.340407,2017-11-05 14:15:00,0.7977997981562156,0.15554185544934876,0.04665833641385003,w
7235,true,a,75,Leicester,LEI,88,Manchester City,MCI,0,2,0.0970457,2.40056,2017-11-18 15:00:00,0.009384078085591495,0.10259618926893287,0.8880196913906983,w
7245,true,a,219,Huddersfield,HUD,88,Manchester City,MCI,1,2,0.537698,2.66178,2017-11-26 16:00:00,0.052810449495860806,0.12367587183198346,0.8235135262184143,w
7257,true,h,88,Manchester City,MCI,74,Southampton,SOU,2,1,1.64952,1.7066,2017-11-29 20:00:00,0.37407320890415147,0.22798984429179098,0.3979369460350114,w
7262,true,h,88,Manchester City,MCI,81,West Ham,WHU,2,1,2.45603,0.474483,2017-12-03 16:00:00,0.8104265557876169,0.13620830358930358,0.053365085423698375,w
7276,true,a,89,Manchester United,MUN,88,Manchester City,MCI,1,2,1.43756,2.03041,2017-12-10 16:30:00,0.2721177467053521,0.21456665332332445,0.5133155952058951,w
7281,true,a,84,Swansea,SWA,88,Manchester City,MCI,0,4,0.589496,3.56828,2017-12-13 19:45:00,0.029198135102500127,0.07047184473159851,0.9003246705158955,w
7298,true,h,88,Manchester City,MCI,82,Tottenham,TOT,4,1,4.14588,0.182456,2017-12-16 17:30:00,0.9710144048133252,0.025219605467643243,0.0037361632700760963,w
7308,true,h,88,Manchester City,MCI,73,Bournemouth,BOU,4,0,1.55724,0.334896,2017-12-23 15:00:00,0.6837342754746238,0.24023112500175164,0.07603459938662664,w
7315,true,a,86,Newcastle United,NEW,88,Manchester City,MCI,0,1,0.174705,1.93187,2017-12-27 19:45:00,0.02724489671620592,0.16631014313352185,0.806444957697905,w
7321,true,a,78,Crystal Palace,CRY,88,Manchester City,MCI,0,0,1.72153,1.09586,2017-12-31 12:00:00,0.5201501621814832,0.23824501838041365,0.24160481890778915,d
7335,true,h,88,Manchester City,MCI,90,Watford,WAT,3,1,2.77398,0.965283,2018-01-02 20:00:00,0.7506742797473014,0.14507873437746496,0.10424673063565856,w
7343,true,a,87,Liverpool,LIV,88,Manchester City,MCI,4,3,1.01595,0.722959,2018-01-14 16:00:00,0.41556544638604054,0.3304942784227568,0.2539402751908252,l
7354,true,h,88,Manchester City,MCI,86,Newcastle United,NEW,3,1,2.5505,0.992018,2018-01-20 17:30:00,0.7105675127121539,0.1637834714274457,0.12564892678681577,w
7366,true,h,88,Manchester City,MCI,76,West Bromwich Albion,WBA,3,0,2.68955,0.118043,2018-01-31 20:00:00,0.9101127707920221,0.08108565075987234,0.008801404839611941,w
7372,true,a,92,Burnley,BUR,88,Manchester City,MCI,1,1,0.795971,2.24914,2018-02-03 12:30:00,0.11737111087702083,0.1794209034135885,0.703207967840758,d
7382,true,h,88,Manchester City,MCI,75,Leicester,LEI,5,1,2.59121,0.109716,2018-02-10 17:30:00,0.9034428120039664,0.08763230341012998,0.008924775815602044,w
7389,true,a,83,Arsenal,ARS,88,Manchester City,MCI,0,3,1.30172,1.92605,2018-03-01 19:45:00,0.25819601592450153,0.221716149154477,0.5200878325526261,w
7404,true,h,88,Manchester City,MCI,80,Chelsea,CHE,1,0,0.953312,0.118301,2018-03-04 16:00:00,0.5723917633449015,0.3821797273158104,0.04542850933913559,w
7416,true,a,85,Stoke,STO,88,Manchester City,MCI,0,2,0.157023,1.64562,2018-03-12 20:00:00,0.0317102602098042,0.21029539998103855,0.7579943395203763,w
7433,true,a,72,Everton,EVE,88,Manchester City,MCI,1,3,0.859628,1.91312,2018-03-31 17:30:00,0.16260975563100213,0.21608142713378495,0.6213088150792971,w
7445,true,h,88,Manchester City,MCI,89,Manchester United,MUN,2,3,3.42967,1.21683,2018-04-07 16:30:00,0.7891414735689497,0.11679365400410809,0.09406151665802537,l
