Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Joe Rodon\8d62d31a,wls WAL,DF,Tottenham,23,1997,1,0,0,0,0,3,5,2,0,3,2,2,8,0
Rodri\6434f10d,es ESP,MF,Manchester City,25,1996,32,2.03,1.44,0.91,1,5.34,4.06,7.94,3.03,1.5,1.25,3.28,1.69,0
Rodrigo\1fb1c435,es ESP,MFFW,Leeds United,30,1991,25.2,1.03,0.71,0.36,0.67,4.68,2.62,7.26,6.67,0.6,0.75,1.79,1.07,0
Jay Rodriguez\4ab53cdb,eng ENG,FW,Burnley,32,1989,15.4,1.43,0.65,0.19,0.78,4.55,4.81,7.4,9.22,1.62,0.39,1.82,0.78,0
Mads Roerslev\57c94db2,dk DEN,DF,Brentford,22,1999,13.8,1.88,0.65,1.16,1.38,3.12,8.26,2.9,1.38,2.25,1.52,3.41,2.17,0
Cristian Romero\a3d94a58,ar ARG,DF,Tottenham,23,1998,20.5,3.66,2.2,1.22,0.88,5.51,9.51,4.78,1.17,2.44,2.78,6.44,3.8,0.05
Oriol Romeu\4b511457,es ESP,MF,Southampton,29,1991,32.1,2.52,1.68,0.72,1.68,5.95,5.64,9.63,2.31,1.4,2.09,4.61,1.62,0
Cristiano Ronaldo\dea698d9,pt POR,FW,Manchester Utd,36,1985,27.3,0.37,0.29,0.15,0.11,1.79,0.84,2.82,3,0.44,0.18,0.55,1.14,0.04
Salomón Rondón\b318a643,ve VEN,FW,Everton,31,1989,8.8,0.68,0.23,0.34,0.8,5.68,1.93,8.52,9.09,0.68,0.45,1.14,1.25,0
Danny Rose\89d10e53,eng ENG,DF,Watford,31,1990,7.7,2.99,1.95,1.56,2.21,4.42,5.71,4.68,0.65,1.82,1.95,4.94,1.69,0
Jon Rowe\8c12f884,eng ENG,FWMF,Norwich City,18,2003,2.5,2.8,1.2,0.4,0,6.4,6,11.2,9.6,2.8,1.6,4.4,0,0
John Ruddy\da8b19e2,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger\18b896d6,de GER,DF,Chelsea,28,1993,33.7,1.57,0.83,0.89,0.47,2.73,4.33,3.41,0.98,1.22,1.28,2.85,3.26,0.03
Lukas Rupp\3faa1780,de GER,MF,Norwich City,30,1991,8.5,1.18,0.94,0.47,1.18,6.24,8.82,8.59,2.82,0.94,2,3.18,0.47,0.12
José Sá\903b6e8b,pt POR,GK,Wolves,28,1993,36.5,0.03,0,0.03,0.05,0.08,0.27,0,0,0.03,0,0.03,0.08,0.08
Allan Saint-Maximin\2b16cb1a,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,0.29,0.19,0.06,0.51,2.15,1.67,3.53,3.04,0.54,0.67,0.96,0.06,0
Romain Saïss\9fbbcf39,ma MAR,DF,Wolves,31,1990,30.1,1.99,1.26,0.6,0.47,3.42,5.38,3.36,0.66,2.03,2.69,4.68,5.75,0.03
Bukayo Saka\bc7dc64d,eng ENG,FWMF,Arsenal,19,2001,33.1,1.12,0.69,0.21,0.73,4.05,3.32,5.68,5.98,1.24,0.94,2.05,0.57,0
Mohamed Salah\e342ad68,eg EGY,FW,Liverpool,29,1992,30.7,0.55,0.23,0.13,0.55,4.14,2.18,4.14,8.27,0.42,0.49,1.04,0.13,0
Mohammed Salisu\0b33f6ad,gh GHA,DF,Southampton,22,1999,33,2.76,1.82,1.24,0.94,4.48,6.61,3.73,0.7,2.09,2.82,5.58,5.94,0.15
Albert Sambi Lokonga\1b4f1169,be BEL,MF,Arsenal,21,1999,12.6,1.75,1.03,0.71,0.48,3.73,3.57,5.08,2.3,1.43,1.83,3.57,1.43,0.16
Davinson Sánchez\da7b447d,co COL,DF,Tottenham,25,1996,18.1,2.49,1.22,0.88,0.61,3.65,4.92,4.42,0.94,1.93,1.88,4.36,4.2,0
Robert Sánchez\6a713852,es ESP,GK,Brighton,23,1997,37,0,0,0,0,0.03,0.14,0,0,0.05,0,0,0,0.11
