Player,Nation,Pos,Squad,Age,Born,90s,Tackles,Tkls Won,Tkls vs Dribbles,Dribbled Past,  Successful Pressures,Def 3rd Press,Mid 3rd Press,Att 3rd Press,Blocks,Intreceptions,Tkl+Int,Clearances,Errors
Ben White\35e413f1,eng ENG,DF,Arsenal,23,1997,32,1.31,0.72,0.59,0.75,2.56,4.19,2.97,0.72,1.69,2.06,3.38,3.56,0
Brandon Williams\5e74d6c8,eng ENG,DF,Norwich City,20,2000,23.6,2.37,1.23,1.02,1.4,3.43,6.61,5.08,1.74,2.16,2.58,4.96,1.99,0
Neco Williams\dd323728,wls WAL,DF,Liverpool,20,2001,0.1,0,0,0,0,0,10,0,0,0,0,0,0,0
Joe Willock\a3b03921,eng ENG,MF,Newcastle Utd,21,1999,22.6,3.05,1.95,0.97,1.77,5.22,7.43,11.2,5.09,1.68,1.33,4.38,0.71,0
Callum Wilson\c596fcb0,eng ENG,FW,Newcastle Utd,29,1992,15.4,0.52,0.39,0.06,0.19,2.79,1.56,4.81,5.97,0.58,0.26,0.78,0.78,0.06
Harry Winks\2f7acede,eng ENG,MF,Tottenham,25,1996,10.1,1.68,0.69,0.79,0.79,3.17,5.05,7.03,2.28,1.78,1.88,3.56,0.79,0
Yoane Wissa\2500cef9,cd COD,FWMF,Brentford,24,1996,14.3,0.98,0.56,0,1.05,3.78,2.52,4.48,6.29,1.12,0.63,1.61,0.56,0
Chris Wood\4e9a0555,nz NZL,FW,Burnley,29,1991,15.2,0.72,0.53,0.26,0.26,3.95,0.53,5.33,7.17,1.05,0.26,0.99,0.39,0
Chris Wood\4e9a0555,nz NZL,FW,Newcastle Utd,29,1991,14.7,0.27,0.2,0.07,0.07,4.56,1.02,7.89,7.96,0.54,0.14,0.41,0.54,0
Freddie Woodman\19e50035,eng ENG,GK,Newcastle Utd,24,1997,4,0,0,0,0,0,0.25,0,0,0,0,0,0,0
Granit Xhaka\e61b8aee,ch SUI,MFDF,Arsenal,28,1992,25.9,1.51,0.93,0.5,0.89,3.24,3.9,4.67,3.01,1.39,1.2,2.7,1.08,0
Andriy Yarmolenko\849c826a,ua UKR,FW,West Ham,31,1989,3.5,0.86,0,0.86,1.14,3.43,5.43,5.43,6.29,1.43,0.29,1.14,0.29,0
Ashley Young\be927d03,eng ENG,DFFW,Aston Villa,36,1985,13.9,2.01,1.08,0.79,0.22,2.52,4.24,4.03,2.16,0.86,1.58,3.6,1.73,0
Nathan Young-Coombes\f9682888,eng ENG,FW,Brentford,18,2003,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Wilfried Zaha\b2bc3b1f,ci CIV,FW,Crystal Palace,28,1992,30.7,1.56,1.14,0.29,0.62,5.6,4.46,9.9,5.73,0.88,0.78,2.35,0.13,0
Christoph Zimmermann\2d5f03bf,de GER,DF,Norwich City,28,1993,1.7,2.94,1.76,1.18,1.18,5.29,7.65,4.71,1.76,0,1.76,4.71,1.76,0
Oleksandr Zinchenko\51cf8561,ua UKR,DF,Manchester City,24,1996,11.6,1.72,0.95,0.34,0.78,2.67,2.16,4.05,1.9,1.55,1.55,3.28,1.12,0.09
Hakim Ziyech\6622454d,ma MAR,FWMF,Chelsea,28,1993,14.7,1.36,0.75,0.27,1.43,5.31,3.61,8.03,6.46,1.22,1.36,2.72,0.61,0
Kurt Zouma\ce4246f5,fr FRA,DF,West Ham,26,1994,23.1,0.48,0.22,0.17,0.17,1.52,2.51,1.56,0.56,1.65,2.03,2.51,6.06,0
Martin Ødegaard\79300479,no NOR,MF,Arsenal,22,1998,30.9,1.39,0.81,0.39,0.87,4.98,3.46,8.48,6.63,0.58,0.71,2.1,0.39,0.03
