Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
840,Jonny Evans\f8fcd2a5,DF,Leicester City,eng Premier League,33,1988,15,0.07,0.2,0.13,66.7,0.2,0.13,0.33,0.5,5.7,0,0,0.05,0.05,0.25,0.02,0.02
841,Eberechi Eze\ae4fc6a4,MFFW,Crystal Palace,eng Premier League,23,1998,6.7,0.15,1.49,0.15,10,1.49,0.15,0.1,1,20.2,0.15,0,0.07,0.07,0.05,0.07,0.07
842,Abdessamad Ezzalzouli\bed68338,FWDF,Barcelona,es La Liga,19,2001,6.4,0.16,2.5,0.47,18.8,2.48,0.47,0.06,0.33,16.2,0,0,0.2,0.2,0.08,-0.05,-0.05
843,Łukasz Fabiański\9328b835,GK,West Ham,eng Premier League,36,1985,37,0,0,0,,0,0,,,,0,0,0,0,,0,0
844,Fabinho\7f3b388c,MF,Liverpool,eng Premier League,27,1993,25.7,0.19,0.74,0.27,36.8,0.74,0.27,0.16,0.43,18.8,0.04,0.08,0.13,0.07,0.11,0.06,0.04
845,Fábio\bc7b4580,DF,Nantes,fr Ligue 1,31,1990,18.5,0,0.59,0.05,9.1,0.59,0.05,0,0,17.2,0,0,0.04,0.04,0.07,-0.04,-0.04
846,Cesc Fàbregas\33508c78,MF,Monaco,fr Ligue 1,34,1987,0.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
847,Wout Faes\9c221d14,DF,Reims,fr Ligue 1,23,1998,37,0.11,0.62,0.24,39.1,0.62,0.24,0.17,0.44,13,0,0,0.06,0.06,0.1,0.05,0.05
848,Wahidullah Faghir\93c9e7d9,FW,Stuttgart,de Bundesliga,18,2003,1.4,0.71,4.29,0.71,16.7,4.39,0.73,0.17,1,15.5,0,0,0.29,0.29,0.07,0.43,0.43
849,Romain Faivre\745ca0a3,FWMF,Lyon,fr Ligue 1,23,1998,9.9,0.3,2.02,0.61,30,2.02,0.61,0.15,0.5,17.6,0.1,0,0.17,0.17,0.09,0.13,0.13
850,Romain Faivre\745ca0a3,MF,Brest,fr Ligue 1,23,1998,19.9,0.35,1.61,0.65,40.6,1.6,0.65,0.06,0.15,21.8,0.2,0.25,0.31,0.12,0.08,0.04,-0.02
851,Radamel Falcao\66116290,FW,Rayo Vallecano,es La Liga,35,1986,9.3,0.65,3.55,1.61,45.5,3.54,1.61,0.18,0.4,12.7,0.22,0,0.47,0.47,0.13,0.17,0.17
852,Diego Falcinelli\a39b9ef6,FWMF,Bologna,it Serie A,30,1991,0.7,0,7.14,0,0,6.82,0,0,,14.4,0,0,0.57,0.57,0.08,-0.57,-0.57
853,Wladimiro Falcone\9f5a610b,GK,Sampdoria,it Serie A,26,1995,9.5,0,0,0,,0,0,,,,0,0,0,0,,0,0
854,Fali\72a84002,DFMF,Cádiz,es La Liga,27,1993,20,0,0.75,0,0,0.75,0,0,,16,0.1,0,0.04,0.04,0.05,-0.04,-0.04
855,Paolo Faragò\9085dd7c,MF,Cagliari,it Serie A,28,1993,0.2,0,10,5,50,11.25,5.63,0,0,12.7,0,0,2.5,2.5,0.27,-2.5,-2.5
856,Omar Faraj\de627c8a,FW,Levante,es La Liga,19,2002,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
857,Davide Faraoni\aae9d04a,DF,Hellas Verona,it Serie A,29,1991,28.6,0.14,1.01,0.31,31,1.01,0.31,0.14,0.44,14,0,0,0.09,0.09,0.09,0.05,0.05
858,Mohamed Fares\b7a5bc86,DFFW,Genoa,it Serie A,25,1996,6.5,0.31,2,0.46,23.1,1.99,0.46,0.15,0.67,12.9,0,0,0.17,0.17,0.08,0.14,0.14
859,Diego Farias\157d29b6,MFFW,Cagliari,it Serie A,31,1990,0.7,0,1.43,0,0,1.36,0,0,,21.6,0,0,0,0,0.04,0,0
860,Wuilker Faríñez\2c127b6f,GK,Lens,fr Ligue 1,23,1998,12.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
861,Ömer Faruk Beyaz\8307b663,FWDF,Stuttgart,de Bundesliga,17,2003,0.8,0,3.75,1.25,33.3,3.8,1.27,0,0,18.4,0,0,0.25,0.25,0.06,-0.25,-0.25
862,Noah Fatar\2693f6bc,DFMF,Angers,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
863,Ansu Fati\0ba976e4,FW,Barcelona,es La Liga,18,2002,3.7,1.08,4.86,2.16,44.4,4.82,2.14,0.22,0.5,16.8,0.27,0,0.38,0.38,0.08,0.7,0.7
864,Julien Faussurier\767212e6,MFDF,Brest,fr Ligue 1,34,1987,5.4,0,0.74,0.56,75,0.74,0.55,0,0,15.9,0,0,0.07,0.07,0.1,-0.07,-0.07
865,Andrea Favilli\44510fde,FW,Genoa,it Serie A,24,1997,0.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
866,Federico Fazio\4e358a2d,DF,Salernitana,it Serie A,34,1987,15.9,0.06,1.01,0.19,18.8,1,0.19,0.06,0.33,12.3,0,0,0.08,0.08,0.07,-0.01,-0.01
867,Aleix Febas\38126309,MF,Mallorca,es La Liga,25,1996,1.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
868,Adrian Fein\60097ff6,MF,Greuther Fürth,de Bundesliga,22,1999,0.4,0,2.5,0,0,2.81,0,0,,26,0,0,0,0,0.02,0,0
869,Nabil Fekir\bece776f,MF,Betis,es La Liga,28,1993,31,0.19,2.71,1,36.9,2.71,1,0.07,0.19,21.2,0.32,0,0.16,0.16,0.06,0.03,0.03
870,Felipe\51a3c4c8,DF,Atlético Madrid,es La Liga,32,1989,16.7,0.12,0.66,0.24,36.4,0.66,0.24,0.18,0.5,8.8,0,0,0.06,0.06,0.09,0.06,0.06
871,Luiz Felipe\15d0c248,DF,Lazio,it Serie A,24,1997,27.7,0,0.18,0.04,20,0.18,0.04,0,0,12,0,0,0.01,0.01,0.05,-0.01,-0.01
872,Ohis Felix Uduokhai\677da306,DF,Augsburg,de Bundesliga,23,1997,8.7,0,0.23,0,0,0.23,0,0,,13.1,0,0,0.01,0.01,0.06,-0.01,-0.01
873,João Félix\8aafd64f,FWMF,Atlético Madrid,es La Liga,21,1999,14,0.57,2.79,1.07,38.5,2.78,1.07,0.21,0.53,14.5,0.07,0,0.36,0.36,0.13,0.21,0.21
874,Kiko Femenía\e5d01ecf,DF,Watford,eng Premier League,30,1991,23.8,0,0.13,0.04,33.3,0.13,0.04,0,0,19.6,0,0,0,0,0.03,0,0
875,Evan Ferguson\4596da74,MF,Brighton,eng Premier League,16,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,,0,0
876,Nathan Ferguson\2f8d27bc,DF,Crystal Palace,eng Premier League,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
877,Bruno Fernandes\507c7bdf,MF,Manchester Utd,eng Premier League,26,1994,34.6,0.29,2.51,0.84,33.3,2.52,0.84,0.11,0.34,21.2,0.17,0,0.28,0.24,0.09,0.01,0.05
878,Edimilson Fernandes\3bb625ac,DFFW,Arminia,de Bundesliga,25,1996,3.1,0,1.29,0.65,50,1.27,0.64,0,0,43.7,0,0,0.06,0.06,0.06,-0.06,-0.06
879,Aitor Fernández\a01c3d54,GK,Levante,es La Liga,30,1991,13,0,0,0,,0,0,,,,0,0,0,0,,0,0
880,Álex Fernández\aa677a35,MF,Cádiz,es La Liga,28,1992,22.8,0.13,0.83,0.26,31.6,0.83,0.26,0.11,0.33,19.6,0,0.04,0.13,0.06,0.07,0,0.03
881,Álvaro Fernández\f127d782,GK,Brentford,eng Premier League,23,1998,12,0,0,0,,0,0,,,,0,0,0,0,,0,0
882,Federico Fernández\f25b010f,DF,Newcastle Utd,eng Premier League,32,1989,5.8,0,1.03,0.17,16.7,1.03,0.17,0,0,9.2,0,0,0.07,0.07,0.07,-0.07,-0.07
883,Fernandinho\101da2b5,MFDF,Manchester City,eng Premier League,36,1985,10.7,0.19,1.68,0.28,16.7,1.68,0.28,0.11,0.67,16.4,0,0,0.15,0.15,0.09,0.04,0.04
884,Fernando\41f32541,MFDF,Sevilla,es La Liga,34,1987,20.6,0.05,0.34,0.05,14.3,0.34,0.05,0.14,1,15.6,0,0,0.03,0.03,0.09,0.02,0.02
885,Alex Ferrari\d0dbca9f,DF,Sampdoria,it Serie A,27,1994,18.3,0.05,0.22,0.05,25,0.22,0.05,0.25,1,17.3,0,0,0.03,0.03,0.11,0.03,0.03
886,Salvador Ferrer\eb76987d,DFMF,Spezia,it Serie A,23,1998,16.6,0,0.36,0.06,16.7,0.36,0.06,0,0,23.5,0,0,0.01,0.01,0.04,-0.01,-0.01
887,Jordan Ferri\375622c5,MF,Montpellier,fr Ligue 1,29,1992,32.3,0,0.4,0.06,15.4,0.4,0.06,0,0,24.1,0,0,0.01,0.01,0.03,-0.01,-0.01
888,Riccardo Fiamozzi\9f9b9269,DF,Empoli,it Serie A,28,1993,6.9,0,0,0,,0,0,,,,0,0,0,0,,0,0
889,Fidel\eb82b6f1,MFFW,Elche,es La Liga,31,1989,25.1,0.2,0.64,0.28,43.8,0.64,0.28,0.25,0.57,15.4,0.04,0.04,0.12,0.09,0.14,0.08,0.07
890,Karol Fila\50ac8941,DF,Strasbourg,fr Ligue 1,23,1998,6.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
891,Alfreð Finnbogason\f9e7c4ac,FWMF,Augsburg,de Bundesliga,32,1989,3.2,0.63,1.88,1.25,66.7,1.85,1.23,0.33,0.5,13.3,0,0,0.34,0.34,0.19,0.28,0.28
892,Luca Fiordilino\9bb1ad91,MF,Venezia,it Serie A,25,1996,7.3,0,0.41,0.14,33.3,0.41,0.14,0,0,18.8,0,0,0.03,0.03,0.05,-0.03,-0.03
893,Vincenzo Fiorillo\a2565f79,GK,Salernitana,it Serie A,31,1990,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
894,Roberto Firmino\4c370d81,FW,Liverpool,eng Premier League,29,1991,11,0.45,2.73,1,36.7,2.73,1,0.17,0.45,15.1,0,0,0.45,0.45,0.17,0,0
895,Junior Firpo\24f59bb2,DF,Leeds United,eng Premier League,24,1996,19,0,0.63,0.05,8.3,0.63,0.05,0,0,13.3,0,0,0.05,0.05,0.08,-0.05,-0.05
896,Mark Flekken\a92ab7be,GK,Freiburg,de Bundesliga,28,1993,32,0,0,0,,0,0,,,,0,0,0,0,,0,0
897,Ashley Fletcher\eeb6551f,FW,Watford,eng Premier League,25,1995,0.3,0,6.67,3.33,50,6,3,0,0,19.9,0,0,1.33,1.33,0.19,-1.33,-1.33
898,Alexis Flips\caef7840,FWMF,Reims,fr Ligue 1,21,2000,11.7,0.17,1.54,0.77,50,1.53,0.77,0.06,0.11,24,0.09,0.09,0.18,0.12,0.08,-0.01,-0.03
899,Alessandro Florenzi\e288d4b3,DFFW,Milan,it Serie A,30,1991,12.8,0.16,1.72,0.47,27.3,1.72,0.47,0.09,0.33,24,0.16,0,0.05,0.05,0.03,0.1,0.1
900,Phil Foden\ed1e53f3,FW,Manchester City,eng Premier League,21,2000,23.6,0.38,2.46,0.93,37.9,2.45,0.93,0.16,0.41,14.1,0,0,0.39,0.39,0.16,0,0
901,Mamadou Fofana\4c4ffacc,DF,Metz,fr Ligue 1,23,1998,0.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
902,Seko Fofana\5313ed43,MF,Lens,fr Ligue 1,26,1995,37.3,0.21,2.63,0.86,32.7,2.63,0.86,0.08,0.25,20.3,0,0,0.2,0.2,0.08,0.01,0.01
903,Wesley Fofana\132a82f1,DF,Leicester City,eng Premier League,20,2000,7,0,0.43,0.14,33.3,0.43,0.14,0,0,8,0,0,0.03,0.03,0.08,-0.03,-0.03
904,Youssouf Fofana\822d51d7,MF,Monaco,fr Ligue 1,22,1999,24.3,0,1.28,0.29,22.6,1.27,0.29,0,0,24.5,0.08,0,0.05,0.05,0.04,-0.05,-0.05
905,Thomas Foket\90eb507d,DFMF,Reims,fr Ligue 1,26,1994,24.8,0.04,0.32,0.12,37.5,0.32,0.12,0.13,0.33,13.3,0,0,0.02,0.02,0.07,0.02,0.02
906,Thomas Fontaine\9f90c06b,DF,Lorient,fr Ligue 1,30,1991,1.9,0,0,0,,0,0,,,,0,0,0,0,,0,0
907,José Fontán\1827a42d,DF,Celta Vigo,es La Liga,21,2000,3.1,0,0.32,0,0,0.33,0,0,,13,0,0,0.03,0.03,0.13,-0.03,-0.03
908,José Fonte\90f87966,DF,Lille,fr Ligue 1,37,1983,38,0,0.61,0.16,26.1,0.61,0.16,0,0,9.8,0,0,0.04,0.04,0.07,-0.04,-0.04
909,Fernando Forestieri\d60c26fc,FWMF,Udinese,it Serie A,31,1990,0.6,3.33,5,3.33,66.7,4.66,3.1,0.67,1,13.2,1.67,0,1.67,1.67,0.32,1.67,1.67
910,Pablo Fornals\82927de4,FWMF,West Ham,eng Premier League,25,1996,31.1,0.19,1.38,0.35,25.6,1.38,0.35,0.14,0.55,18.4,0,0,0.16,0.16,0.12,0.03,0.03
911,Emil Forsberg\9a2e0ccc,MFFW,RB Leipzig,de Bundesliga,29,1991,19,0.32,2,0.58,28.9,2,0.58,0.05,0.18,18.2,0.11,0.21,0.4,0.24,0.12,-0.08,-0.14
912,Adam Forshaw\9f1938ab,MF,Leeds United,eng Premier League,29,1991,17,0,0.82,0.24,28.6,0.82,0.24,0,0,25.5,0.06,0,0.02,0.02,0.03,-0.02,-0.02
913,Marcus Forss\82c215a0,FWMF,Brentford,eng Premier League,22,1999,2.3,0,2.17,0,0,2.15,0,0,,14,0,0,0.09,0.09,0.05,-0.09,-0.09
914,Fraser Forster\c3e39f12,GK,Southampton,eng Premier League,33,1988,19,0,0,0,,0,0,,,,0,0,0,0,,0,0
915,Philipp Förster\76fa965f,FWMF,Stuttgart,de Bundesliga,26,1995,10.7,0.19,2.71,0.65,24.1,2.7,0.65,0.07,0.29,17.4,0.09,0,0.25,0.25,0.09,-0.07,-0.07
916,Francesco Forte\69e11a01,FW,Venezia,it Serie A,28,1993,4.7,0.21,2.34,0.43,18.2,2.35,0.43,0.09,0.5,9.9,0,0,0.21,0.21,0.09,0,0
917,Steven Fortes\574aa9ec,DF,Lens,fr Ligue 1,29,1992,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
918,Ben Foster\d0b3ceb9,GK,Watford,eng Premier League,38,1983,26,0,0,0,,0,0,,,,0,0,0,0,,0,0
919,Tariqe Fosu\3dcef539,DF,Brentford,eng Premier League,25,1995,0.2,0,5,0,0,5.29,0,0,,18.4,0,0,0,0,0.03,0,0
920,Timothy Fosu-Mensah\a9142dc3,DF,Leverkusen,de Bundesliga,23,1998,1.6,0,0,0,,0,0,,,,0,0,0,0,,0,0
921,Dimitri Foulquier\45e17712,DF,Granada,es La Liga,28,1993,2,0,0,0,,0,0,,,,0,0,0,0,,0,0
922,Dimitri Foulquier\45e17712,DF,Valencia,es La Liga,28,1993,26,0,0.62,0.19,31.3,0.61,0.19,0,0,21.4,0,0,0.03,0.03,0.05,-0.03,-0.03
923,Juan Foyth\6c7762c3,DF,Villarreal,es La Liga,23,1998,21.4,0.05,0.28,0.09,33.3,0.28,0.09,0.17,0.5,11.3,0,0,0.02,0.02,0.09,0.02,0.02
924,Gianluca Frabotta\d80b1835,DFFW,Hellas Verona,it Serie A,22,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
925,Raphael Framberger\626fab5f,DF,Augsburg,de Bundesliga,25,1995,9.4,0,0.11,0,0,0.11,0,0,,20.4,0,0,0,0,0.03,0,0
926,Przemysław Frankowski\00a8d210,DF,Lens,fr Ligue 1,26,1995,27.2,0.22,1.21,0.48,39.4,1.21,0.48,0.18,0.46,17.9,0,0,0.11,0.11,0.09,0.11,0.11
927,Enric Franquesa\40883e3a,DF,Levante,es La Liga,24,1997,6.9,0,0.14,0,0,0.14,0,0,,11.7,0,0,0,0,0.03,0,0
928,Fransérgio\deba6b05,MF,Bordeaux,fr Ligue 1,30,1990,14,0,1,0.14,14.3,1,0.14,0,0,21.2,0.07,0,0.09,0.09,0.09,-0.09,-0.09
929,Ryan Fraser\d56543a0,FWMF,Newcastle Utd,eng Premier League,27,1994,16.3,0.12,1.47,0.43,29.2,1.47,0.43,0.08,0.29,17.2,0,0,0.17,0.17,0.12,-0.05,-0.05
930,Davide Frattesi\2a7d27c1,MF,Sassuolo,it Serie A,21,1999,31.7,0.13,2.08,0.6,28.8,2.08,0.6,0.06,0.21,16.5,0,0,0.21,0.21,0.1,-0.08,-0.08
931,Fred\b853e0ad,MF,Manchester Utd,eng Premier League,28,1993,22.5,0.18,0.67,0.4,60,0.67,0.4,0.27,0.44,20.2,0,0,0.07,0.07,0.1,0.11,0.11
932,Ryan Fredericks\c067631c,DF,West Ham,eng Premier League,28,1992,3.4,0,0,0,,0,0,,,,0,0,0,0,,0,0
933,Morten Frendrup\f4d60499,DFMF,Genoa,it Serie A,20,2001,7.7,0,0.52,0.26,50,0.52,0.26,0,0,19.4,0,0,0.06,0.06,0.13,-0.06,-0.06
934,Remo Freuler\98d2c2c4,MF,Atalanta,it Serie A,29,1992,26.3,0.04,0.76,0.23,30,0.76,0.23,0.05,0.17,20,0,0,0.06,0.06,0.08,-0.02,-0.02
935,Marvin Friedrich\b77f44a4,DF,M'Gladbach,de Bundesliga,25,1995,6.7,0,0.75,0.15,20,0.75,0.15,0,0,14,0,0,0.04,0.04,0.06,-0.04,-0.04
936,Marvin Friedrich\b77f44a4,DF,Union Berlin,de Bundesliga,25,1995,13,0,1.15,0.31,26.7,1.15,0.31,0,0,12.8,0,0,0.08,0.08,0.07,-0.08,-0.08
937,Jeremie Frimpong\74f2e748,DF,Leverkusen,de Bundesliga,20,2000,22.8,0.04,0.48,0.18,36.4,0.48,0.18,0.09,0.25,18.9,0,0,0.03,0.03,0.05,0.02,0.02
938,Christian Früchtl\1940be91,GK,Bayern Munich,de Bundesliga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
939,Jorge de Frutos\38ce1150,MFFW,Levante,es La Liga,24,1997,19.6,0.2,2.35,1.02,43.5,2.35,1.02,0.09,0.2,15.3,0,0,0.3,0.3,0.13,-0.09,-0.09
940,Leo Fuhr Hjelde\d102b8a2,DF,Leeds United,eng Premier League,17,2003,1.7,0,0,0,,0,0,,,,0,0,0,0,,0,0
941,Chris Führich\0cf778df,MFFW,Stuttgart,de Bundesliga,23,1998,19,0.16,1.58,0.63,40,1.58,0.63,0.1,0.25,19.2,0,0,0.18,0.18,0.12,-0.03,-0.03
942,Angelo Fulgini\4b96c347,MFFW,Angers,fr Ligue 1,24,1996,32.5,0.15,1.78,0.52,29.3,1.78,0.52,0.09,0.29,16.2,0.09,0,0.18,0.18,0.1,-0.02,-0.02
943,Marius Funk\86314793,GK,Greuther Fürth,de Bundesliga,25,1996,8,0,0,0,,0,0,,,,0,0,0,0,,0,0
944,Stephan Fürstner\18c2e247,MF,Mainz 05,de Bundesliga,33,1987,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
945,Matteo Gabbia\c235e803,DF,Milan,it Serie A,21,1999,6,0,0.17,0,0,0.17,0,0,,3.2,0,0,0.02,0.02,0.11,-0.02,-0.02
946,Manolo Gabbiadini\8f866fe8,FWMF,Sampdoria,it Serie A,29,1991,12.7,0.47,3.46,1.65,47.7,3.47,1.66,0.14,0.29,18.4,0.24,0,0.31,0.31,0.09,0.17,0.17
947,Mijat Gaćinović\16daec92,FWDF,Hoffenheim,de Bundesliga,26,1995,1.2,0,0.83,0,0,0.82,0,0,,11.2,0,0,0.25,0.25,0.26,-0.25,-0.25
948,Gianluca Gaetano\3b387cc7,MF,Napoli,it Serie A,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
949,Luca Gagliano\1d00a56c,MFDF,Cagliari,it Serie A,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
950,Roberto Gagliardini\ce30bfc8,MF,Inter,it Serie A,27,1994,7.2,0.28,1.11,0.56,50,1.11,0.55,0.25,0.5,15.8,0,0,0.14,0.14,0.12,0.14,0.14
951,Riccardo Gagliolo\173061c0,DF,Salernitana,it Serie A,31,1990,12.6,0,0.63,0.08,12.5,0.63,0.08,0,0,16.9,0,0,0.06,0.06,0.1,-0.06,-0.06
952,Javi Galán\a4b00319,DF,Celta Vigo,es La Liga,26,1994,36.6,0,0.52,0.14,26.3,0.52,0.14,0,0,27.3,0.03,0,0.01,0.01,0.02,-0.01,-0.01
953,Iñigo Ruiz de Galarreta\91f7631f,MF,Mallorca,es La Liga,27,1993,15.3,0,0.52,0.2,37.5,0.52,0.2,0,0,21.8,0,0,0.03,0.03,0.05,-0.03,-0.03
954,Nicolas Galazzi\a796492f,DF,Venezia,it Serie A,20,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
955,Pablo Galdames Millán\dd403465,MF,Genoa,it Serie A,24,1996,11.4,0,1.05,0.26,25,1.05,0.26,0,0,21.9,0,0,0.04,0.04,0.03,-0.04,-0.04
956,Thiago Galhardo\766f48dd,FWMF,Celta Vigo,es La Liga,32,1989,12.8,0.16,2.42,1.17,48.4,2.43,1.18,0.06,0.13,12.7,0,0,0.27,0.27,0.11,-0.11,-0.11
957,Conor Gallagher\c2731c10,MF,Crystal Palace,eng Premier League,21,2000,31.6,0.25,1.65,0.7,42.3,1.64,0.7,0.15,0.36,16.5,0.13,0,0.18,0.18,0.11,0.07,0.07
958,Gauthier Gallon\db3164e1,GK,Troyes,fr Ligue 1,28,1993,31,0,0,0,,0,0,,,,0,0,0,0,,0,0
959,Cristian Gamboa\f27680d9,DF,Bochum,de Bundesliga,31,1989,19.1,0.05,0.26,0.05,20,0.26,0.05,0.2,1,30.4,0,0,0.01,0.01,0.02,0.05,0.05
960,Kévin Gameiro\42276181,FW,Strasbourg,fr Ligue 1,34,1987,26.5,0.42,2.45,0.94,38.5,2.45,0.94,0.15,0.4,13.5,0,0.04,0.53,0.44,0.19,-0.11,-0.06
961,Idrissa Gana Gueye\72c812f3,MF,Paris S-G,fr Ligue 1,31,1989,18.2,0.16,1.32,0.38,29.2,1.32,0.38,0.13,0.43,22.3,0,0,0.1,0.1,0.08,0.06,0.06
962,Ignatius Ganago\23c63b7f,FW,Lens,fr Ligue 1,22,1999,11.4,0.44,2.81,0.88,31.3,2.81,0.88,0.16,0.5,13.2,0,0,0.41,0.41,0.15,0.03,0.03
963,Silvère Ganvoula M'Boussy\6c731625,FW,Bochum,de Bundesliga,25,1996,1.7,0,2.94,1.18,40,2.94,1.18,0,0,10.6,0,0,0.76,0.76,0.26,-0.76,-0.76
964,Álvaro García\90bbd822,FW,Rayo Vallecano,es La Liga,28,1992,33.3,0.21,2.01,0.72,35.8,2.01,0.72,0.1,0.29,16.4,0,0,0.19,0.19,0.1,0.02,0.02
965,Dani García\240d3a0b,MF,Athletic Club,es La Liga,31,1990,24.2,0,0.5,0.08,16.7,0.5,0.08,0,0,19,0,0,0.03,0.03,0.07,-0.03,-0.03
966,David García\3e42f707,DF,Osasuna,es La Liga,27,1994,34.5,0.12,0.9,0.12,12.9,0.9,0.12,0.13,1,11.5,0,0,0.04,0.04,0.04,0.08,0.08
967,Eric García\2bed3eab,DF,Barcelona,es La Liga,20,2001,22.7,0,0.26,0.18,66.7,0.26,0.18,0,0,23.7,0,0,0.01,0.01,0.03,-0.01,-0.01
968,Francisco Garcia\7226539b,DF,Rayo Vallecano,es La Liga,21,1999,33.6,0.03,0.74,0.24,32,0.74,0.24,0.04,0.13,23.5,0,0,0.02,0.02,0.03,0.01,0.01
969,Joan García\87b498b0,GK,Espanyol,es La Liga,20,2001,1.2,0,0,0,,0,0,,,,0,0,0,0,,0,0
970,Manu García\6ed1a2a2,MF,Alavés,es La Liga,23,1998,12,0,0.67,0.08,12.5,0.67,0.08,0,0,21.8,0,0,0.02,0.02,0.04,-0.02,-0.02
971,Raúl García\b418dbd4,FW,Athletic Club,es La Liga,35,1986,20,0.3,2.2,0.6,27.3,2.2,0.6,0.14,0.5,16.2,0,0,0.3,0.26,0.12,0,0.04
972,Rubén García\5c96b017,FWMF,Osasuna,es La Liga,28,1993,26.4,0.04,1.14,0.34,30,1.14,0.34,0.03,0.11,23.1,0.15,0,0.12,0.06,0.05,-0.08,-0.02
973,Saúl García\dafa5038,FW,Alavés,es La Liga,26,1994,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
974,Unai García\4a633cfe,DF,Osasuna,es La Liga,29,1992,15.6,0,0.51,0,0,0.51,0,0,,16.8,0,0,0.03,0.03,0.04,-0.03,-0.03
975,Alejandro Garnacho\7aa8adfe,FW,Manchester Utd,eng Premier League,17,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,,0,0
976,Mario Gaspar\fb5d47b3,DF,Villarreal,es La Liga,30,1990,6.9,0,0.58,0.14,25,0.58,0.14,0,0,17,0,0,0.03,0.03,0.06,-0.03,-0.03
977,Djeidi Gassama\bbdb2789,FW,Paris S-G,fr Ligue 1,17,2003,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
978,Johan Gastien\868eaba0,MF,Clermont Foot,fr Ligue 1,33,1988,30.5,0,0.79,0.23,29.2,0.79,0.23,0,0,23.4,0.03,0,0.03,0.03,0.04,-0.03,-0.03
979,Dwight Gayle\e58a03c6,FW,Newcastle Utd,eng Premier League,30,1990,0.4,0,5,0,0,4.74,0,0,,7,0,0,0.75,0.75,0.15,-0.75,-0.75
980,Jean-Philippe Gbamin\6bd603db,MF,Everton,eng Premier League,25,1995,0.7,0,0,0,,0,0,,,,0,0,0,0,,0,0
981,David de Gea\7ba6d84e,GK,Manchester Utd,eng Premier League,30,1990,38,0,0,0,,0,0,,,,0,0,0,0,,0,0
982,Linus Gechter\ad2b068c,DF,Hertha BSC,de Bundesliga,17,2004,8,0.13,0.63,0.13,20,0.63,0.13,0.2,1,8.1,0,0,0.07,0.07,0.12,0.05,0.05
983,Dennis Geiger\37f606f0,MF,Hoffenheim,de Bundesliga,23,1998,15.3,0.13,0.98,0.13,13.3,0.98,0.13,0.13,1,18.9,0,0,0.06,0.06,0.06,0.07,0.07
984,Joe Gelhardt\01962d0d,FWMF,Leeds United,eng Premier League,19,2002,8.3,0.24,2.65,1.08,40.9,2.65,1.09,0.09,0.22,15.8,0,0,0.37,0.37,0.14,-0.13,-0.13
985,Luca Gemello\53e494ec,GK,Torino,it Serie A,21,2000,1,0,0,0,,0,0,,,,0,0,0,0,,0,0
986,Yannick Gerhardt\62ab9184,MFDF,Wolfsburg,de Bundesliga,27,1994,17.5,0.06,0.8,0.17,21.4,0.8,0.17,0.07,0.33,15.6,0,0,0.1,0.1,0.13,-0.05,-0.05
987,Valère Germain\ea0ff634,FW,Montpellier,fr Ligue 1,31,1990,21.9,0.18,1.46,0.73,50,1.46,0.73,0.13,0.25,11.9,0,0,0.19,0.19,0.13,-0.01,-0.01
988,Gerson\8827bf46,MFFW,Marseille,fr Ligue 1,24,1997,28.3,0.32,1.55,0.67,43.2,1.56,0.67,0.2,0.47,16.3,0,0,0.19,0.19,0.12,0.12,0.12
989,Willem Geubbels\9836e892,FWMF,Nantes,fr Ligue 1,19,2001,6,0.33,2.17,0.5,23.1,2.15,0.5,0.15,0.67,15.4,0,0,0.28,0.28,0.13,0.05,0.05
990,Hamadi Al Ghaddioui\5723931e,FW,Stuttgart,de Bundesliga,30,1990,5.5,0.36,2.18,0.73,33.3,2.17,0.72,0.17,0.5,11.3,0,0,0.27,0.27,0.13,0.09,0.09
991,Ismaël Gharbi\5b3cfa12,FW,Paris S-G,fr Ligue 1,17,2004,0,0,0,0,,0,0,,,,0,0,0,0,,0,0
