Rk,Player,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,GperSh,GperSoT,Dist,FK,PK,xG,NpxG,NpxGperSh,G-xG,Np:G-xG
246,Asmir Begović\7b4de647,GK,Everton,eng Premier League,34,1987,3,0,0,0,,0,0,,,,0,0,0,0,,0,0
247,Valon Behrami\d3d758d8,MF,Genoa,it Serie A,36,1985,3.5,0,0.29,0,0,0.29,0,0,,13,0,0,0.03,0.03,0.07,-0.03,-0.03
248,Kevin Behrens\30ae134d,FW,Union Berlin,de Bundesliga,30,1991,5.5,0.36,2.91,1.27,43.8,2.89,1.26,0.13,0.29,11.1,0,0,0.49,0.49,0.17,-0.13,-0.13
249,Youcef Belaïli\1a248246,MFFW,Brest,fr Ligue 1,29,1992,9.2,0.33,1.74,0.65,37.5,1.75,0.65,0.19,0.5,15.1,0.22,0,0.32,0.22,0.12,0.01,0.11
250,Vid Belec\4f8ce0e1,GK,Salernitana,it Serie A,31,1990,21.5,0,0,0,,0,0,,,,0,0,0,0,,0,0
251,Ishak Belfodil\ff182fdc,FW,Hertha BSC,de Bundesliga,29,1992,18.2,0.27,1.87,0.93,50,1.87,0.94,0.12,0.24,12.5,0,0.05,0.23,0.19,0.1,0.05,0.03
252,Haris Belkebla\2b1bed19,MF,Brest,fr Ligue 1,27,1994,25.7,0,0.16,0.04,25,0.16,0.04,0,0,23.5,0,0,0,0,0.02,0,0
253,Stefan Bell\857a5abe,DF,Mainz 05,de Bundesliga,29,1991,31.8,0.06,0.69,0.16,22.7,0.69,0.16,0.09,0.4,9.3,0,0,0.05,0.05,0.07,0.02,0.02
254,Armel Bella Kotchap\a39d11bc,DF,Bochum,de Bundesliga,19,2001,19.6,0,0.51,0.15,30,0.51,0.15,0,0,16.1,0,0,0.03,0.03,0.05,-0.03,-0.03
255,Raoul Bellanova\e3756e72,DF,Cagliari,it Serie A,21,2000,27.7,0.04,0.83,0.18,21.7,0.83,0.18,0.04,0.2,15,0,0,0.06,0.06,0.08,-0.03,-0.03
256,Karim Bellarabi\bee0bab1,FWDF,Leverkusen,de Bundesliga,31,1990,7.6,0.39,3.68,1.45,39.3,3.69,1.45,0.11,0.27,17.3,0,0,0.29,0.29,0.08,0.11,0.11
