,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Rk,Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
25,Joachim Andersen\Joachim-Andersen,DF,Fulham,30.3,60.5,58.3,2.24,1.78,0.03,5.38,3.17,0.13,0,0,0,0,41.4,5.21,13.9,5.71,48.7,3.56,0.46,0.23,50.5,0.23,1.68,0.59,0.73
26,Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,6,6,0,0,0,0,0,1,0,0,0,0,6,0,0,3,2,0,0,1,4,0,0,1,0
28,Michail Antonio\Michail-Antonio,FW,West Ham,21.9,22.4,21.6,0.82,0.05,0,7.81,0.64,1.37,0,0,0,0,12.9,5.66,3.79,3.47,14.6,1.28,0.37,0.55,14.9,0.09,0.5,0.78,1.42
29,Alphonse Areola\Alphonse-Areola,GK,Fulham,36,27.8,18.1,9.75,2.83,0,1.25,0.53,0,0,0,0,0,14.8,0.94,12,1.81,20.2,0,0,4.39,20.5,0.08,0.53,0.14,0.06
30,Stuart Armstrong\Stuart-Armstrong,MF,Southampton,30.7,41,38.5,2.51,0.46,0.23,8.73,0.62,0.85,0.03,0,0,0,31.3,5.6,4.07,7.46,31.4,1.27,0.52,0.1,32.6,0.07,0.39,1.43,2.12
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,6.5,37.4,29.5,7.85,0.92,0,3.38,0.62,0,0,0,0,0,23.7,2,11.7,4.62,26.2,0,0,6,30.5,0,0.62,0.15,0
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,25.9,26.7,25.9,0.81,0.04,0.23,5.44,0.35,1.81,0.04,0,0,0,19.1,3.94,3.63,2.93,21.8,0.66,0.12,0.35,20,0.35,0.19,0.62,0.89
33,Serge Aurier\Serge-Aurier,DF,Tottenham,17.8,53.6,44.4,9.16,0.28,0.17,6.07,0.73,1.18,0,0,0,0,32.4,10.9,10.3,3.88,36.7,2.87,8.88,0.06,43.2,0,0.39,1.24,1.4
34,Charlie Austin\Charlie-Austin,FW,West Brom,1.5,22.7,21.3,1.33,0,0,8,0,0.67,0,0,0,0,10.7,6.67,5.33,2,12,4,0,0,16.7,0.67,0,0.67,0.67
35,Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,23.3,28.1,27.3,0.77,0.17,0,6.05,0.43,0.77,0,0,0,0,22.3,3.65,2.15,1.8,23.8,1.07,0.09,0.26,22.1,0.04,0.3,1.07,0.99
36,Luke Ayling\Luke-Ayling,DF,Leeds United,37.8,70.4,60.9,9.5,1.43,0.11,6.46,2.38,1.85,0,0,0,0,41.6,13,15.8,5.5,53.1,2.57,8.07,0.19,55.8,0.19,1.22,1.8,1.77
37,César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,24.3,82.9,75.3,7.61,1.44,0.16,5.27,0.49,1.19,0,0,0,0,61.7,10.9,10.3,6.79,65.2,3.17,6.17,0.29,72.6,0.16,0.74,1.52,1.6
38,Eric Bailly\Eric-Bailly,DF,Manchester Utd,10.2,53.6,52.2,1.47,1.37,0,4.9,0.98,0,0,0,0,0,44.3,4.02,5.29,6.37,43.4,2.25,0.1,0.2,48.4,0,0.39,0.98,0.29
39,Fabián Balbuena\Fabian-Balbuena,DF,West Ham,13.3,35,33,1.95,1.73,0,2.41,1.28,0,0,0,0,0,21.7,3.08,10.2,3.91,28.3,1.8,0.23,0.08,26.8,0.23,0.75,0.38,0.53
40,George Baldock\George-Baldock,DF,Sheffield Utd,31,37.4,30.7,6.74,0.1,0,4.81,0.48,1.65,0,0,0,0,21.1,8.58,7.71,1.87,27,1.32,6.65,0.16,29.4,0.06,0.58,0.74,1.74
41,Gareth Bale\Gareth-Bale,FW,Tottenham,10.2,40,36.9,3.14,0.88,0.1,8.92,3.14,2.84,1.27,0.98,0.1,0.1,22.1,7.45,10.5,32.5,2.84,1.96,0.98,0.39,27.8,0.1,0.69,1.67,1.76
