,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,,Outcomes,Outcomes,Outcomes,Outcomes
Rk,Player,Pos,Squad,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
112,Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,37.9,58.4,52.5,5.91,0.58,0.05,7.92,1.45,1.48,0.45,0.4,0,0,39.4,10.8,8.23,10.3,40.4,1.85,4.88,0.16,47.8,0.18,1.06,1.35,1.48
113,Scott Dann\Scott-Dann,DF,Crystal Palace,15,40.3,38.3,2,1.87,0.07,4.13,0.4,0,0,0,0,0,26.6,4.2,9.47,4.53,30.6,2.93,0.13,0.27,33.9,0,0.87,0.6,0.4
114,Karl Darlow\Karl-Darlow,GK,Newcastle Utd,25,29,16.1,13,4.16,0,1,0.56,0,0,0,0,0,7,0.96,21.1,1.28,21.9,0.04,0,3.52,14.6,0.32,0.72,0.28,0.16
115,Ben Davies\Ben-Davies,DF,Tottenham,15,52.2,42.5,9.73,0.8,0.07,3.8,0.53,1.6,0.07,0.07,0,0,30.1,11.3,10.7,36.3,4.27,1.8,8.87,0,40.7,0.07,0.53,0.93,2
116,Tom Davies\Tom-Davies,MF,Everton,15.8,43.3,42.5,0.76,0.44,0.13,7.03,0.95,0.32,0,0,0,0,32.8,4.56,5.95,5.57,34.2,2.91,0.25,0.13,36.3,0.06,0.7,1.08,1.52
117,Keinan Davis\Keinan-Davis,FWMF,Aston Villa,3.1,25.5,25.2,0.32,0,0,12.6,0.32,1.94,0,0,0,0,17.7,4.52,3.23,18.1,1.94,0.32,0,0.97,18.7,0,0.32,0.65,1.61
118,Leif Davis\Leif-Davis,DF,Leeds United,0.4,47.5,47.5,0,0,0,2.5,2.5,0,0,0,0,0,37.5,7.5,2.5,45,0,2.5,0,0,40,0,0,2.5,0
119,Craig Dawson\Craig-Dawson,DF,West Ham,21.4,33.6,32.2,1.36,1.17,0,3.55,1.4,0,0,0,0,0,22.9,3.18,7.52,1.78,28.3,2.06,0.14,0.09,27.7,0.05,0.89,0.51,0.23
120,Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,22.2,63.3,57.1,6.22,1.89,0.95,7.21,2.88,2.93,3.92,1.08,1.44,0.41,46.4,6.31,10.6,7.07,54.1,1.31,0.27,0.18,48.1,0.45,1.26,2.16,3.15
121,Liam Delap\Liam-Delap,FW,Manchester City,0.4,17.5,7.5,10,0,0,0,0,0,0,0,0,0,17.5,0,0,0,17.5,0,0,0,12.5,0,0,0,0
122,Fabian Delph\Fabian-Delph,MFDF,Everton,3,78,74.7,3.33,0.67,0,7,1,1,0,0,0,0,61.7,6.33,10,48,26,1.33,2.67,0,68.7,0,1,0.67,1.33
123,Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,27.8,41.8,41,0.79,0.76,0,6.08,1.12,0.29,0.04,0,0.04,0,31,5.22,5.54,6.76,30.8,2.19,0,0.22,36.7,0,0.32,0.68,0.54
124,Mbaye Diagne\Mbaye-Diagne,FW,West Brom,13.2,17.4,16.7,0.68,0,0.08,6.67,0.45,0.38,0,0,0,0,8.64,4.47,4.32,1.74,10.2,1.67,0.08,0.68,12.3,0.08,0.61,0.38,0.38
125,Amad Diallo\Amad-Diallo,FW,Manchester Utd,1.8,35.6,34.4,1.11,0.56,0.56,7.78,0.56,0,0,0,0,0,32.2,1.67,1.67,30,5,0,0.56,0,30,0.56,0.56,1.67,0.56
126,Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,11.3,51.9,51,0.97,0.8,0.09,9.65,0.62,0.62,0,0,0,0,41.2,4.42,6.28,5.13,44.6,1.68,0.18,0,44.2,0.18,0.88,1.24,0.53
127,Grady Diangana\Grady-Diangana,MFFW,West Brom,13.7,25.6,24.8,0.8,0.15,0.15,5.11,0.22,1.09,0.29,0.15,0,0.07,18.5,3.72,3.43,20.5,3.14,0.58,0.15,0.36,18.7,0.15,0.22,0.66,1.46
128,Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,26.2,40.3,34.7,5.69,1.56,0.19,4.43,2.25,2.86,3.47,1.56,1.37,0.19,23.9,6.22,10.2,34.5,3.66,0.95,0.61,0.34,26.9,0.19,0.65,1.95,1.79
129,Rúben Dias\Ruben-Dias,DF,Manchester City,31.6,84.6,82.9,1.65,1.55,0.03,6.2,1.87,0.06,0,0,0,0,72.2,4.62,7.69,13.3,67.3,2.53,0.09,0.16,79.1,0.19,0.66,0.66,0.38
130,Eric Dier\Eric-Dier,DF,Tottenham,28,59.1,57.5,1.57,1.46,0,5.5,2.11,0.14,0,0,0,0,42.9,4.61,11.6,8.71,45.5,3.04,0.11,0.11,50,0.07,0.71,0.71,0.71
131,Lucas Digne\Lucas-Digne,DF,Everton,29.8,56.7,44.8,11.9,2.11,0,7.52,1.88,4.43,1.48,0.7,0.67,0.03,27.8,13,16,39.9,2.65,3.59,8.36,0.1,41.1,0.3,1.34,1.61,2.21
132,Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,4.1,80.2,79.5,0.73,0.73,0,7.8,4.15,0,0,0,0,0,62.2,4.15,13.9,15.9,59.3,2.44,0,0,72.2,0.24,0.49,0.49,0
133,Issa Diop\Issa-Diop,DF,West Ham,15.3,36.8,35.8,0.98,0.78,0.07,3.73,0.2,0.07,0,0,0,0,28.7,2.68,5.42,6.34,26.6,2.75,0.2,0,31,0.07,0.46,0.59,0.2
134,Moussa Djenepo\Moussa-Djenepo,MF,Southampton,13.8,29,27.7,1.3,0.22,0.07,4.2,0.29,0.72,0,0,0,0,21.4,3.91,3.7,7.46,18.3,1.16,1.01,0.51,21.4,0.07,0.43,0.94,2.17
135,Matt Doherty\Matt-Doherty,DF,Tottenham,13.8,59.9,49.4,10.4,0.72,0,6.59,0.8,1.74,0,0,0,0,34.5,14.5,10.9,3.12,41.4,3.33,9.71,0.29,48.3,0.14,0.65,1.45,1.67
136,Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,22.2,67.2,65.9,1.31,1.26,0,5.99,1.31,0.14,0,0,0,0,52.7,5.5,9.01,59.1,4.59,1.71,0.05,0.23,57.8,0.18,1.08,1.04,0.72
137,Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,27.1,49.2,48.6,0.55,0.44,0.11,7.56,0.63,0.37,0.04,0,0,0,38.6,6.61,3.95,5.98,39.6,2.21,0.07,0.18,42.3,0.07,0.22,1.11,1.22
138,Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,13,32.8,20.2,12.6,3.23,0,3,1.38,0,0,0,0,0,16.9,1.15,14.8,2.08,24.8,0.08,0.08,4.92,23.8,0,1.31,0.31,0
139,Paul Dummett\Paul-Dummett,DF,Newcastle Utd,13.9,38.5,34.4,4.1,0.94,0,4.46,0.36,0.65,0,0,0,0,23.7,4.46,10.3,31.4,1.65,1.44,3.09,0,29.6,0.43,0.86,1.08,0.72
140,Lewis Dunk\Lewis-Dunk,DF,Brighton,32.6,66,63.6,2.39,2.06,0.03,5,2.18,0.03,0,0,0,0,50,6.01,9.97,4.11,56.5,3.19,0.34,0.8,59.4,0.09,0.89,0.64,0.34
141,Jimmy Dunne\Jimmy-Dunne,DF,Burnley,3,48.7,48,0.67,0.67,0,7,1.33,0,0,0,0,0,28.7,6,14,15,24,5.67,0,0,34.7,0,1.33,0.33,0.33
142,Ederson\Ederson,GK,Manchester City,36,30.3,24.2,6.06,1.67,0.03,2.22,0.83,0,0,0,0,0,21.3,1.22,7.81,21.4,4.33,0.06,0,4.11,25.2,0.06,0.5,0.25,0.06
143,Kyle Edwards\Kyle-Edwards,MFFW,West Brom,1.3,26.9,26.9,0,0,0,3.85,0.77,0.77,0,0,0,0,21.5,3.08,2.31,0.77,24.6,1.54,0,0,23.1,0,0,0,1.54
144,John Egan\John-Egan,DF,Sheffield Utd,29.2,37.5,36.6,0.82,0.72,0.03,3.84,0.99,0.07,0,0,0,0,25.1,3.36,8.97,4.79,28.3,2.57,0.1,0.27,31.7,0.1,0.92,0.27,0.27
145,Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,1.7,31.2,30.6,0.59,0,0,6.47,0.59,0.59,0,0,0,0,28.8,0.59,1.76,4.12,26.5,0,0,0,25.3,0,0.59,3.53,0.59
146,Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,9.3,63.9,50.8,13.1,1.83,0,7.85,1.61,3.44,0,0,0,0,30,17.4,16.5,0.75,45.9,4.09,11.3,0.32,49.9,0.11,0.97,1.51,0.97
147,Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,17.2,58.3,57,1.28,1.16,0.06,6.92,1.4,0.17,0,0,0,0,48.6,4.83,4.88,3.78,51.7,2.27,0.12,0.29,54.5,0.17,0.47,0.23,0.52
148,Jonny Evans\Jonny-Evans,DF,Leicester City,27.5,64.1,62.7,1.49,1.35,0,7.31,1.16,0.07,0,0,0,0,46.7,5.64,11.8,22.9,35.8,3.53,0.15,0.11,56.1,0.07,1.02,1.09,0.25
149,Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,28.4,40.8,36.5,4.26,1.3,0.07,6.73,1.09,0.92,2.22,0.63,0.85,0.28,31.5,3.59,5.7,5.7,33.8,0.6,0.18,0.04,32.3,0.28,0.42,1.2,1.13
150,Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,35,28.6,18.1,10.5,2.77,0,1.46,0.8,0,0,0,0,0,8.4,1.63,18.6,1.03,21.2,0.06,0,4.03,17.3,0.14,1.11,0.17,0.06
151,Fabinho\Fabinho,DFMF,Liverpool,28.5,71.9,70.2,1.68,1.47,0.11,6.6,1.3,0.07,0,0,0,0,58.3,5.12,8.46,4.98,63,2.04,0.21,0.28,65.5,0.04,0.49,0.6,0.28
152,Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,34.4,66.4,60.4,5.99,1.66,0.58,10.1,3.63,2.65,1.74,0.55,0.7,0.23,43.6,8.08,14.7,4.77,58,1.74,1.05,0.55,49.5,0.49,1.28,2.06,2.88
153,Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,23.1,36.2,33.2,3.03,1.34,0,2.73,1.39,0.43,0,0,0,0,24.2,4.24,7.84,1.56,29.5,2.6,1.69,0.22,29,0.17,0.74,0.65,0.65
154,Fernandinho\Fernandinho,MF,Manchester City,13.2,75.8,73.9,1.97,1.44,0.15,9.24,2.5,0.45,0.08,0,0.08,0,59.7,5.91,10.2,9.24,61.6,3.03,0.45,0.15,66.5,0.08,0.38,1.74,0.68
155,Sam Field\Sam-Field,MF,West Brom,0.7,32.9,32.9,0,0,0,7.14,0,0,0,0,0,0,17.1,0,15.7,22.9,0,8.57,0,0,21.4,0,0,1.43,0
156,Roberto Firmino\Roberto-Firmino,FW,Liverpool,31.5,41.5,40.2,1.33,0.1,0.25,9.11,0.29,1.02,0.06,0,0,0,32.4,5.97,3.17,5.14,33.8,1.24,0.48,0.38,33.1,0.06,0.16,2,1.56
157,John Fleck\John-Fleck,MF,Sheffield Utd,28.6,42.4,38.5,3.88,1.05,0.07,5.38,1.33,1.22,2.06,0.98,0.45,0.35,28.4,5.56,8.46,36.6,3.18,1.57,0.21,0.52,33.1,0.1,0.56,0.98,0.84
158,Phil Foden\Phil-Foden,FWMF,Manchester City,18,46.6,43.4,3.17,0.17,0,7.33,1.56,2,2.5,0.39,1.5,0.22,36.7,4.33,5.56,41.2,3.33,1.06,0.33,0.06,38.2,0.22,0.61,0.94,1.67
159,Wesley Fofana\Wesley-Fofana,DF,Leicester City,25.1,66.6,63.2,3.39,1.51,0.08,5.82,1.51,0.04,0,0,0,0,53.3,5.3,8.01,5.14,55.7,2.11,1.87,0.08,58.7,0.08,1.04,0.76,0.4
160,Pablo Fornals\Pablo-Fornals,FWMF,West Ham,28.6,38.5,37.7,0.84,0.14,0.07,7.2,0.63,1.15,0.07,0,0.03,0,28.2,4.9,5.42,3.71,31.8,1.5,0.17,0.56,29.8,0.24,0.49,1.29,1.43
161,Fraser Forster\Fraser-Forster,GK,Southampton,8,34.3,21.5,12.8,4.75,0,3.88,1,0,0,0,0,0,12.5,1.38,20.4,5.88,22.9,0,0,3.63,19.3,0.25,1.38,0.88,0.25
162,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,0.9,83.3,78.9,4.44,0,0,8.89,0,5.56,0,0,0,0,68.9,7.78,6.67,8.89,66.7,1.11,4.44,1.11,72.2,0,1.11,1.11,2.22
163,Tyrese Francois\Tyrese-Francois,DF,Fulham,0.2,75,65,10,0,0,10,0,0,0,0,0,0,65,5,5,60,5,0,10,0,70,0,0,0,5
164,Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,10.3,35.8,29.6,6.21,0.97,0.1,4.76,1.84,5.05,4.37,0.97,2.33,0.58,19.2,5.34,11.3,5.34,26.8,2.23,0.68,0.29,23.6,0.1,0.19,0.58,1.84
165,Fred\Fred,MF,Manchester Utd,26.6,66.3,64.1,2.22,1.92,0.23,9.1,2.14,0.26,0,0,0,0,53.5,6.73,6.02,46.3,18.5,0.79,0.26,0.15,58.5,0.11,0.79,1.65,1.54
166,Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,6.3,44.3,38.4,5.87,0.63,0,4.6,0.16,2.86,0,0,0,0,24.9,7.46,11.9,3.02,31.3,4.13,5.24,0,32.2,0,0.63,0.48,1.9
167,Christian Fuchs\Christian-Fuchs,DF,Leicester City,7.8,75.5,66.2,9.36,1.79,0.13,5.77,1.41,1.03,0,0,0,0,49.6,10.9,15,57.4,5,3.46,7.56,0.13,61.3,0,0.9,1.41,1.41
168,Darnell Furlong\Darnell-Furlong,DF,West Brom,32.6,36.1,26.8,9.33,0.52,0,5.55,0.95,2.24,0.03,0,0,0.03,12.1,8.62,15.4,0.98,20.6,2.79,8.77,0.06,21.5,0.21,1.32,0.74,1.44
169,Conor Gallagher\Conor-Gallagher,MF,West Brom,28.1,34,32.1,1.85,0.53,0,6.41,1,1.14,0.89,0.46,0.11,0.14,23.1,4.13,6.73,3.35,28,1.71,0.07,0.14,26.4,0.07,0.5,1.14,1
170,Eric García\Eric-Garcia,DF,Manchester City,4.3,80,78.4,1.63,0.93,0,3.72,0.7,0,0,0,0,0,70.5,4.88,4.65,7.67,68.8,1.86,0.7,0.23,74.9,0.23,0.7,0.7,0.47
171,Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,5.7,20,18.6,1.4,0,0,5.61,0.18,0.35,0,0,0,0,13,4.74,2.28,4.74,11.8,1.23,0.53,0.88,16,0,0.53,0.18,0.53
172,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,0.1,90,90,0,0,0,40,0,0,0,0,0,0,70,10,10,30,60,0,0,0,60,0,0,0,20
173,David de Gea\David-de-Gea,GK,Manchester Utd,25.5,23.3,15.1,8.2,1.45,0,1.25,0.59,0,0,0,0,0,13.9,0.98,8.39,1.45,18.2,0.08,0,3.14,18,0.12,0.39,0.24,0.04
174,Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,17.9,34.2,31.8,2.4,0.45,0.11,8.1,1.23,3.41,1.17,0.56,0.39,0.22,21.2,6.09,6.98,6.26,23.6,1.68,0.78,0.34,24.1,0.11,0.45,1.28,2.01
175,Kieran Gibbs\Kieran-Gibbs,DF,West Brom,9,34.3,29.7,4.67,0.44,0,4.33,0.11,1.22,0.11,0,0.11,0,17.3,5.22,11.8,24.6,2.67,2.11,4.11,0.11,24.8,0.22,0.33,0.56,0.78
176,Morgan Gibbs-White\Morgan-Gibbs-White,FWMF,Wolves,4.6,51.1,49.1,1.96,0.87,0.22,11.1,1.09,1.74,0.22,0,0.22,0,36.5,8.04,6.52,1.96,46.5,1.74,0.43,0,41.3,0,0.87,2.83,0.87
177,Billy Gilmour\Billy-Gilmour,MF,Chelsea,2.9,74.1,73.1,1.03,1.03,0,12.8,1.72,1.03,0,0,0,0,61.7,5.17,7.24,3.79,68.6,1.03,0,0,66.2,0,0.34,1.38,0.69
178,Olivier Giroud\Olivier-Giroud,FW,Chelsea,8.3,26.1,25.4,0.72,0,0,6.14,0.12,0.36,0,0,0,0,16.3,6.02,3.86,17.2,3.86,2.05,0.24,1.33,19.4,0,0,1.57,0.84
179,Ben Godfrey\Ben-Godfrey,DF,Everton,29.8,43.7,39.8,3.93,0.47,0.03,5.23,0.54,0.23,0,0,0,0,32.4,5.17,6.11,3.19,34.1,1.98,3.42,0.13,37,0.03,0.81,0.74,1.07
180,André Gomes\Andre-Gomes,MF,Everton,17.4,51.8,50.9,0.86,0.52,0.11,6.03,2.41,0.98,0.17,0.11,0,0,38.4,5.92,7.47,15.4,34.7,0.63,0.11,0.06,43.1,0.29,1.15,1.67,1.03
181,Joe Gomez\Joe-Gomez,DF,Liverpool,6.6,80.8,79.7,1.06,1.06,0,9.85,4.39,0,0,0,0,0,61.7,4.7,14.4,5.76,67.6,4.7,0,0,72.9,0.15,1.21,0.15,0.3
182,Anthony Gordon\Anthony-Gordon,FWMF,Everton,1,26,24,2,1,0,4,0,1,0,0,0,0,23,2,1,2,22,0,1,0,22,0,1,0,1
183,Karlan Grant\Karlan-Grant,FWMF,West Brom,12.5,18.2,16.9,1.36,0,0.08,4,0.16,0.72,0.08,0,0,0,12.3,3.52,2.4,2.16,13.2,1.68,0.08,0.48,13.4,0.08,0.08,0.4,1.52
184,Demarai Gray\Demarai-Gray,FW,Leicester City,0.2,55,55,0,0,0,0,5,5,0,0,0,0,50,0,5,0,55,0,0,0,35,0,5,0,15
185,Jack Grealish\Jack-Grealish,FWMF,Aston Villa,24.3,45.3,40.2,5.02,1.73,0.16,9.18,1.19,2.43,1.85,0.82,0.33,0.12,33.2,5.97,6.13,3.09,39.5,0.66,0.99,0.16,35.6,0.16,0.7,1.48,1.73
186,Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,20.2,36.2,35.9,0.35,0.1,0.1,7.08,1.49,1.49,0.2,0,0,0,29.6,2.87,3.81,27.6,8.02,0.35,0,0.05,30.1,0.15,0.15,1.09,1.14
187,Pascal Groß\Pascal-Gross,MFDF,Brighton,27.6,60.5,51.3,9.17,2.32,0.11,7.64,3.62,3.55,4.93,1.7,2.28,0.22,37.8,7.17,15.5,9.75,46.4,1.74,1.81,0.11,45.7,0.22,1.34,1.16,1.38
188,Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,1.6,30.6,29.4,1.25,0,0,4.38,0.63,1.88,1.25,0.63,0.63,0,21.3,1.88,7.5,5,25,0.63,0,0,20,0,1.25,1.88,0
189,Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,37,29.2,17.8,11.4,2.89,0,2.03,0.43,0,0,0,0,0,8.51,1.05,19.6,1.78,21.1,0,0,3.97,16.2,0.08,0.68,0.14,0.05
190,İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,22.5,75.9,73.5,2.36,1.2,0.18,8.53,1.51,0.84,0.89,0.18,0.27,0.04,63.3,6.49,6.04,22.4,51.5,1.16,0.13,0.27,69,0.22,0.53,1.11,0.71
191,Antwoine Hackford\Antwoine-Hackford,DFFW,Sheffield Utd,0.1,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0
192,Sébastien Haller\Sebastien-Haller,FW,West Ham,10.4,24.2,23.3,0.96,0,0.1,9.04,0.87,0.38,0,0,0,0,13.3,5.58,5.38,3.27,15.2,1.35,0,0.29,16.4,0.1,0.48,0.58,0.87
193,Rekeem Harper\Rekeem-Harper,MF,West Brom,0.4,40,40,0,0,0,5,2.5,0,0,0,0,0,30,5,5,5,30,5,0,0,32.5,0,0,0,0
194,Jack Harrison\Jack-Harrison,MF,Leeds United,31.6,36.8,34.8,1.93,0.25,0.13,6.2,1.39,3.77,1.17,0.73,0.28,0,22.9,5.76,8.13,25.2,8.92,1.23,0.51,0.25,24.9,0.28,0.73,1.27,2.28
195,Kortney Hause\Kortney-Hause,DF,Aston Villa,7,30.9,29.3,1.57,1.57,0,4.71,1.29,0.29,0,0,0,0,18,3.43,9.43,21.3,3.71,3,0,0,24.1,0,0.71,0.43,0.43
196,Kai Havertz\Kai-Havertz,MFFW,Chelsea,16.9,45.3,44,1.24,0.12,0.06,10.3,0.47,0.95,0.06,0,0,0,37.9,4.56,2.78,32.7,9.94,1.12,0.47,0.18,39,0.12,0.47,1.01,1.72
197,Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,21.6,36.6,34,2.55,0.93,0.05,6.3,0.74,0.56,0,0,0,0,25.2,4.03,7.31,5.14,26.1,2.31,1.02,0.09,29.1,0.09,0.93,0.83,1.48
198,Michael Hector\Michael-Hector,DF,Fulham,2.9,60.3,56.9,3.45,3.1,0,4.48,0.69,0,0,0,0,0,37.6,7.59,15.2,6.9,50.7,1.38,0.34,0.34,47.9,0,1.38,0.34,1.38
199,Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,1,52,52,0,0,0,3,0,0,0,0,0,0,27,4,21,3,38,9,0,0,37,0,2,0,1
200,Dean Henderson\Dean-Henderson,GK,Manchester Utd,12.5,25.1,16.1,9.04,1.52,0,2.16,0.4,0,0,0,0,0,15.4,0.8,8.96,2,17.4,0,0,4.88,18.9,0,0.56,0.08,0.08
201,Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,18.9,95.9,93.5,2.33,1.8,0.26,7.09,3.65,0.74,0.11,0,0.05,0,71,8.84,16.1,12,79.5,3.39,0.32,0.16,83.2,0.11,0.85,1.01,1.16
202,Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,15.8,33.7,32.8,0.89,0.76,0,4.87,0.38,0.32,0,0,0,0,24.5,4.3,4.94,3.8,27.3,1.58,0,0.32,27.2,0,0.19,0.82,1.65
203,Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,4.7,83.2,79.1,4.04,1.7,0.21,8.09,3.4,2.34,0.85,0.21,0.21,0.21,52.8,17.4,13,6.6,73.4,1.7,1.49,0,61.7,0.64,2.77,1.91,4.04
204,Son Heung-min\Son-Heung-min,FW,Tottenham,34.6,34.7,30.3,4.34,1.07,0.09,5.92,1.45,1.56,2.8,1.33,1.04,0.29,23.6,5.2,5.84,4.91,27.2,1.39,0.29,0.17,26.6,0.14,0.32,0.84,0.9
205,Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,6.4,54.8,46.9,7.97,0.16,0,5.78,0.94,2.34,0,0,0,0,34.4,12,8.44,4.06,40.8,1.72,7.81,0,40.6,0.16,1.72,1.25,3.13
206,Rob Holding\Rob-Holding,DF,Arsenal,28.4,62.3,60.7,1.55,1.16,0,4.44,2.11,0.11,0,0,0,0,49.5,4.23,8.56,6.94,51.4,2.32,0.39,0.21,55.6,0.07,1.2,0.56,0.32
207,Mason Holgate\Mason-Holgate,DF,Everton,25.4,47.2,41.3,5.91,1.14,0.04,4.76,1.61,1.06,0,0,0,0,30.1,5.47,11.7,6.85,32.5,2.28,4.76,0.08,37.2,0.08,1.22,1.3,0.75
208,Conor Hourihane\Conor-Hourihane,MF,Aston Villa,2.5,62,47.6,14.4,6.8,0,4.4,2.8,4.8,6,1.6,2,0.4,40.8,8,13.2,57.6,2,0.8,0.8,0,46.4,0.8,0.4,0.4,1.2
209,Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,11.8,55.8,53.1,2.71,0.25,0.08,6.69,2.46,3.9,0.51,0.25,0.17,0,42.6,5.51,7.71,6.02,46.9,0.51,1.95,0.17,45.9,0.17,1.44,1.02,2.03
210,Niall Huggins\Niall-Huggins,DF,Leeds United,0.4,57.5,50,7.5,0,0,7.5,5,2.5,0,0,0,0,35,15,7.5,7.5,37.5,5,7.5,0,42.5,0,2.5,2.5,0
211,Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,38,70.7,68,2.68,2.45,0.08,6.42,1.79,0.29,0,0,0,0,56.6,6.29,7.79,9.24,57.7,2.53,0.24,0.21,62.9,0.16,0.95,1.16,0.32
212,Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,0.1,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0
213,Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,16.2,30.9,29.5,1.42,0,0.12,7.47,0.49,0.74,0.06,0,0,0,24.1,4.44,2.41,28.1,1.67,0.68,0,0.12,24.7,0.19,0.31,1.54,1.23
214,Danny Ings\Danny-Ings,FW,Southampton,24.1,21.5,21.1,0.46,0,0.04,5.48,0.46,1,0,0,0,0,13.6,3.82,4.15,2.32,17.3,1.04,0.08,0.25,14.3,0.17,0.58,0.83,1.04
215,Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,8.5,36.6,34.1,2.47,2.35,0,3.18,1.06,0,0,0,0,0,26.2,4.12,6.24,3.06,28.2,3.76,0.12,0,31.2,0,0.82,0.35,0.59
216,Alex Iwobi\Alex-Iwobi,FWDF,Everton,17.1,40.2,38.4,1.81,0,0.12,6.14,1.46,3.04,0,0,0,0,29.4,5.38,5.5,4.33,33.5,0.41,1.75,0.06,31,0.29,0.53,0.88,1.87
217,José Izquierdo\Jose-Izquierdo,DFMF,Brighton,0.1,90,70,20,0,0,10,0,10,0,0,0,0,60,20,10,0,70,0,20,0,80,0,0,0,0
218,Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,5.8,32.1,30,2.07,1.21,0,4.83,1.72,0.17,0,0,0,0,18.8,3.79,9.48,5,23.1,1.9,0.86,0,24.5,0,1.21,0.52,0.34
219,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,Brighton,5.9,44.9,43.1,1.86,0.34,0.68,7.12,1.36,4.75,0.34,0,0.34,0,31.9,5.93,7.12,3.39,38.3,1.19,0.68,0.85,33.2,0.17,0.51,1.02,2.54
220,Daniel James\Daniel-James,FW,Manchester Utd,10.1,30.1,29.8,0.3,0.1,0.1,5.84,0.3,1.78,0,0,0,0,24.7,3.17,2.28,3.37,25.4,0.59,0.2,0,23.5,0.1,0.59,0.4,1.78
221,Reece James\Reece-James,DF,Chelsea,26.4,75.3,66.1,9.13,0.98,0.04,7.39,2.42,3.79,1.25,0.53,0.49,0.08,51.4,13,10.9,7.42,58,2.12,6.89,0.23,63.9,0.27,0.83,1.1,1.86
222,Alexandre Jankewitz\Alexandre-Jankewitz,MF,Southampton,0,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,0,0,1,0
223,Daniel Jebbison\Daniel-Jebbison,FW,Sheffield Utd,3.2,10.6,10.3,0.31,0,0,2.19,0,0.31,0,0,0,0,6.88,1.56,2.19,0.94,8.13,0.63,0,0,7.5,0,0,0.31,0.31
224,Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,22.9,32.9,31,1.92,0.26,0.04,6.59,0.39,0.44,0.22,0,0,0,26.9,3.71,2.27,4.93,26,0.61,0.22,0.79,27.9,0.04,0.35,0.96,0.96
225,Raúl Jiménez\Raul-Jimenez,FW,Wolves,9.1,28.9,28,0.88,0.11,0.22,8.35,1.1,0.33,0,0,0,0,18.7,6.59,3.63,2.31,22.6,1.43,0.11,1.21,22.7,0.22,0.66,0.22,0.99
226,Joelinton\Joelinton,FWMF,Newcastle Utd,22,26.8,26.3,0.55,0.05,0.14,10.5,0.27,0.64,0,0,0,0,18.2,5.14,3.45,4.77,17.4,1,0,0.64,19.8,0.05,0.68,0.82,1.41
