Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,38,560,1141,49.1,24918,19336,0,0.2,-0.2,2,52,0,0,0,414
Jacob Ramsey\Jacob-Ramsey,MF,Aston Villa,7,188,220,85.5,3360,717,0,0.3,-0.3,6,16,1,1,15,1
Kayne Ramsey\Kayne-Ramsey,DF,Southampton,1,18,26,69.2,286,101,0,0,0,0,0,0,0,0,3
Darren Randolph\Darren-Randolph,GK,West Ham,3,36,66,54.5,1311,986,0,0,0,0,0,0,0,0,33
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,32.4,995,1234,80.6,15841,3175,9,3.6,+5.4,41,34,56,6,96,28
Tim Ream\Tim-Ream,DF,Fulham,7,396,434,91.2,8687,2742,0,0,0,0,31,0,0,24,2
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,19.3,564,743,75.9,9326,2326,3,3.3,-0.3,29,35,31,5,74,44
Harrison Reed\Harrison-Reed,MF,Fulham,25,1262,1460,86.4,24280,5739,2,1.4,+0.6,22,86,18,4,97,87
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,24.9,1076,1393,77.2,18509,6530,3,1.7,+1.3,17,60,27,16,82,208
Bobby Reid\Bobby-Reid,MFDF,Fulham,26.4,612,826,74.1,10197,2922,2,1.4,+0.6,15,38,28,6,60,54
Declan Rice\Declan-Rice,MF,West Ham,32,1298,1506,86.2,25003,6065,1,2.1,-1.1,19,113,21,9,94,22
Lewis Richardson\Lewis-Richardson,FWMF,Burnley,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Richarlison\Richarlison,FW,Everton,31.8,534,772,69.2,8273,1745,3,3.2,-0.2,25,24,14,1,42,18
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,20.2,533,628,84.9,9123,2310,0,1,-1,11,46,8,0,42,11
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,15,411,607,67.7,7978,3480,2,1.5,+0.5,24,27,18,13,37,134
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,14.9,337,467,72.2,5289,1239,2,1.8,+0.2,15,25,22,1,43,6
Andrew Robertson\Andrew-Robertson,DF,Liverpool,37.6,2567,3213,79.9,47107,15919,7,6.9,+0.1,66,177,66,26,265,513
Antonee Robinson\Antonee-Robinson,DF,Fulham,24,982,1352,72.6,18310,7073,0,1.6,-1.6,28,40,43,25,87,249
