Player,Pos,Squad,90s,CompletedPasses,AttemptedPasses,PassCompletion,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,DeadBallPasses
Danny Welbeck\Danny-Welbeck,FW,Brighton,17.2,219,268,81.7,2962,603,1,2.2,-1.2,22,13,6,1,21,4
Timo Werner\Timo-Werner,FW,Chelsea,28.9,638,826,77.2,9609,1894,8,6.1,+1.9,34,31,23,6,56,32
Ashley Westwood\Ashley-Westwood,MF,Burnley,37.9,1567,2125,73.7,33232,10582,3,5,-2,49,181,73,12,202,236
Ben White\Ben-White,DFMF,Brighton,35.5,1470,1766,83.2,30785,9425,0,0.7,-0.7,8,111,20,2,116,78
Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,32.7,1630,1747,93.3,28047,5426,0,1.7,-1.7,22,140,21,1,93,37
Brandon Williams\Brandon-Williams,DF,Manchester Utd,2.1,120,140,85.7,2062,741,0,0,0,1,8,2,1,6,19
Neco Williams\Neco-Williams,DF,Liverpool,2.8,156,213,73.2,2548,872,0,0.3,-0.3,3,10,1,1,17,28
Rhys Williams\Rhys-Williams,DF,Liverpool,7.3,415,451,92,9374,2316,0,0.4,-0.4,2,21,1,0,13,7
Willian\Willian,FWMF,Arsenal,15.6,624,787,79.3,11784,2300,5,2.5,+2.5,29,34,30,10,49,102
Joe Willock\Joe-Willock,MF,Arsenal,2.6,69,91,75.8,1078,279,0,0,0,2,9,4,1,6,0
Joe Willock\Joe-Willock,MF,Newcastle Utd,10.9,180,234,76.9,2983,1140,0,0.7,-0.7,8,19,7,2,28,5
Callum Wilson\Callum-Wilson,FW,Newcastle Utd,23.2,255,366,69.7,3521,684,5,2.2,+2.8,14,10,13,0,20,27
Harry Winks\Harry-Winks,MF,Tottenham,9.6,554,658,84.2,10474,2951,0,0.3,-0.3,5,73,6,0,54,16
Chris Wood\Chris-Wood,FW,Burnley,30.5,440,658,66.9,5847,916,3,2.2,+0.8,23,24,5,0,34,21
Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,28,1945,2164,89.9,39353,10257,2,1.6,+0.4,18,268,29,1,213,92
Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,4.2,124,157,79,2158,584,1,1,0,5,10,6,2,11,7
DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,4.8,111,172,64.5,1760,809,0,0.1,-0.1,3,5,6,1,13,32
Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,14.6,441,530,83.2,7663,2263,1,0.6,+0.4,5,27,3,0,42,17
Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,29,590,778,75.8,8928,2221,2,3.3,-1.3,27,29,36,5,72,22
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,28.7,1197,1410,84.9,20529,4894,3,2.2,+0.8,27,134,23,5,114,22
Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,1.9,20,43,46.5,308,84,0,0.1,-0.1,1,2,1,1,4,1
Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,16.4,1331,1475,90.2,21806,6052,0,1.3,-1.3,13,108,14,0,93,151
Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,13,548,734,74.7,9413,2551,3,3.7,-0.7,34,47,32,6,70,46
Kurt Zouma\Kurt-Zouma,DF,Chelsea,22.5,1580,1720,91.9,34007,8862,0,0,0,2,96,3,0,66,30
Martin Ødegaard\Martin-Odegaard,MF,Arsenal,9.6,450,521,86.4,7319,1776,2,2.1,-0.1,21,34,18,1,48,54
