id,minute,result,x,y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,assist,lastAction
427000,54,BlockedShot,0.750999984741211,0.37,0.0185893215239048,Kyle Walker,h,638,OpenPlay,2021,RightFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Gabriel Jesus,Pass
427001,54,MissedShots,0.905,0.37099998474121093,0.07871851325035095,Gabriel Jesus,h,5543,OpenPlay,2021,LeftFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,None,Rebound
427002,58,BlockedShot,0.805,0.545,0.057949554175138474,Ferrán Torres,h,6441,OpenPlay,2021,LeftFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Rúben Dias,BallRecovery
427003,63,BlockedShot,0.9459999847412109,0.525,0.058187466114759445,Aymeric Laporte,h,2498,FromCorner,2021,Head,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Ilkay Gündogan,Goal
427004,63,Goal,0.9130000305175782,0.549000015258789,0.1048646867275238,Aymeric Laporte,h,2498,FromCorner,2021,RightFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,None,None
427005,70,Goal,0.9519999694824218,0.5120000076293946,0.70183265209198,Raheem Sterling,h,618,OpenPlay,2021,RightFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Gabriel Jesus,Pass
427007,83,Goal,0.8869999694824219,0.46799999237060547,0.49567919969558716,Riyad Mahrez,h,750,OpenPlay,2021,LeftFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Rúben Dias,Throughball
427008,86,BlockedShot,0.7730000305175782,0.40299999237060546,0.0757063701748848,Riyad Mahrez,h,750,DirectFreekick,2021,LeftFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,None,Standard
427009,88,MissedShots,0.81,0.645,0.03367152065038681,Raheem Sterling,h,618,FromCorner,2021,RightFoot,16387,Manchester City,Norwich,5,0,2021-08-21 14:00:00,Riyad Mahrez,Pass
428468,6,Goal,0.9569999694824218,0.56,0.1449810117483139,Ilkay Gündogan,h,314,OpenPlay,2021,Head,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Gabriel Jesus,Cross
428469,11,Goal,0.950999984741211,0.539000015258789,0.5840904116630554,Ferrán Torres,h,6441,SetPiece,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,None,None
428470,16,MissedShots,0.8969999694824219,0.455,0.13522471487522125,Ferrán Torres,h,6441,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Gabriel Jesus,Cross
428471,37,MissedShots,0.8090000152587891,0.38599998474121094,0.02692321129143238,Ferrán Torres,h,6441,FromCorner,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Gabriel Jesus,Pass
428472,38,BlockedShot,0.8730000305175781,0.5579999923706055,0.0127811748534441,Aymeric Laporte,h,2498,OpenPlay,2021,Head,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Gabriel Jesus,Aerial
428473,42,Goal,0.9580000305175781,0.54,0.6798266768455505,Gabriel Jesus,h,5543,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428474,49,SavedShot,0.92,0.645,0.11374076455831528,Bernardo Silva,h,3635,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428475,49,BlockedShot,0.8080000305175781,0.515,0.02857373282313347,Rodri,h,2496,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,None,Rebound
428476,50,BlockedShot,0.7440000152587891,0.485,0.034080542623996735,Ilkay Gündogan,h,314,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Rúben Dias,Pass
428477,51,BlockedShot,0.8619999694824219,0.6329999923706054,0.09800978004932404,Jack Grealish,h,675,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Ilkay Gündogan,Pass
428478,52,Goal,0.7559999847412109,0.42400001525878905,0.021644435822963715,Rodri,h,2496,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Ferrán Torres,Pass
428479,55,BlockedShot,0.75,0.5870000076293945,0.016187405213713646,Oleksandr Zinchenko,h,2958,FromCorner,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,None,None
428480,62,MissedShots,0.924000015258789,0.5640000152587891,0.08152595162391663,Aymeric Laporte,h,2498,FromCorner,2021,Head,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Rodri,Cross
428481,64,BlockedShot,0.9690000152587891,0.629000015258789,0.11121505498886108,Raheem Sterling,h,618,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428482,67,SavedShot,0.9390000152587891,0.5670000076293945,0.3650815486907959,Raheem Sterling,h,618,OpenPlay,2021,Head,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Riyad Mahrez,Chipped
428483,67,MissedShots,0.8140000152587891,0.575999984741211,0.03485845774412155,Raheem Sterling,h,618,FromCorner,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428484,75,MissedShots,0.9280000305175782,0.53,0.11532582342624664,Aymeric Laporte,h,2498,FromCorner,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Rúben Dias,Cross
428485,76,SavedShot,0.8880000305175781,0.4179999923706055,0.4347356855869293,Raheem Sterling,h,618,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Riyad Mahrez,Throughball
428486,83,Goal,0.9359999847412109,0.5059999847412109,0.5010553598403931,Ferrán Torres,h,6441,OpenPlay,2021,Head,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Riyad Mahrez,Cross
428487,85,BlockedShot,0.7780000305175782,0.48,0.03986535966396332,Ilkay Gündogan,h,314,OpenPlay,2021,RightFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Rodri,Pass
428488,86,BlockedShot,0.8330000305175781,0.6780000305175782,0.036644384264945984,Aymeric Laporte,h,2498,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,None,None
428489,86,BlockedShot,0.909000015258789,0.595999984741211,0.07026714831590652,Aymeric Laporte,h,2498,FromCorner,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428490,87,BlockedShot,0.8119999694824219,0.49700000762939456,0.081395223736763,Riyad Mahrez,h,750,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Jack Grealish,Pass
428491,90,SavedShot,0.8859999847412109,0.3160000038146973,0.11065830290317535,Riyad Mahrez,h,750,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Raheem Sterling,Pass
428492,91,SavedShot,0.93,0.539000015258789,0.597283124923706,João Cancelo,h,2379,OpenPlay,2021,LeftFoot,16396,Manchester City,Arsenal,5,0,2021-08-28 11:30:00,Ilkay Gündogan,Throughball
429920,5,SavedShot,0.9430000305175781,0.44299999237060544,0.3739932179450989,Gabriel Jesus,a,5543,OpenPlay,2021,Head,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,Bernardo Silva,Chipped
429921,5,BlockedShot,0.919000015258789,0.47299999237060547,0.11009354889392853,Bernardo Silva,a,3635,OpenPlay,2021,RightFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,None,None
429922,5,BlockedShot,0.894000015258789,0.47400001525878904,0.11576133221387863,Ilkay Gündogan,a,314,OpenPlay,2021,RightFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,None,Rebound
429925,13,BlockedShot,0.8619999694824219,0.5359999847412109,0.06868986040353775,Ilkay Gündogan,a,314,OpenPlay,2021,LeftFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,Bernardo Silva,Cross
429926,18,SavedShot,0.8480000305175781,0.5990000152587891,0.0659160315990448,Bernardo Silva,a,3635,OpenPlay,2021,LeftFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,None,BallRecovery
429927,20,MissedShots,0.8630000305175781,0.5729999923706055,0.07702667266130447,Jack Grealish,a,675,SetPiece,2021,RightFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,Ilkay Gündogan,Pass
429928,27,SavedShot,0.875,0.5409999847412109,0.08317490667104721,Ferrán Torres,a,6441,OpenPlay,2021,LeftFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,None,None
429929,41,BlockedShot,0.774000015258789,0.6659999847412109,0.018429165706038475,João Cancelo,a,2379,SetPiece,2021,RightFoot,16409,Leicester,Manchester City,0,1,2021-09-11 14:00:00,Aymeric Laporte,Pass
