,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
461,Matt Targett\Matt-Targett,DF,37.8,43.7,56.8,77,814.3,405,19.5,21.8,89.5,17.4,21.9,79.6,10.6,54.3,0.05,0.08,-0.03,1.16,4.21,1.4,0.4,5.87
462,James Tarkowski\James-Tarkowski,DF,36,23.3,32.4,72,576.3,213.2,6.14,7.94,77.3,10.4,12.7,81.7,11.1,59.9,0,0.02,-0.02,0.28,1.92,0.36,0.06,2.11
463,Percy Tau\Percy-Tau,FWMF,1.1,20,26.4,75.9,292.7,60.9,10,13.6,73.3,9.09,10,90.9,1.82,0,0.91,0.27,0.64,2.73,0.91,0.91,0,1.82
464,Sidnei Tavares\Sidnei-Tavares,MF,0.9,21.1,28.9,73.1,343.3,57.8,12.2,17.8,68.8,7.78,8.89,87.5,1.11,100,0,0,0,0,0,0,0,1.11
465,Charlie Taylor\Charlie-Taylor,DF,27,33.6,48.1,69.9,623.7,260.6,15.9,18.2,87.4,12.9,16.9,76.5,11.2,40.1,0.04,0.07,-0.03,0.56,2.7,0.93,0.7,2.44
466,Neil Taylor\Neil-Taylor,DF,0.2,50,55,90.9,600,145,40,40,100,10,15,66.7,0,,0,0,0,0,0,0,0,0
467,Allan Tchaptchet\Allan-Tchaptchet,DF,0.1,0,20,0,0,0,0,10,0,0,0,,0,,0,0,0,0,0,0,0,0
468,Nathan Tella\Nathan-Tella,FWMF,8.3,12.9,17.6,73.3,202,37.7,7.23,8.92,81.1,3.98,4.94,80.5,1.69,64.3,0.12,0.1,0.02,0.72,0.48,0.96,0.48,0.72
469,Alex Telles\Alex-Telles,DF,7.7,59.6,74,80.5,998.7,408.6,30.5,32.5,94,21.8,25.7,84.8,13.5,41.3,0.26,0.14,0.12,1.56,4.55,1.82,0.26,6.49
470,Kenny Tete\Kenny-Tete,DF,16.5,38.9,52.3,74.4,714.2,289.8,17.1,20.3,84.2,16.2,20.6,78.5,7.82,59.7,0.06,0.1,-0.04,1.03,2.12,1.52,1.15,3.27
