,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,,,,,,,,
Rk,Player,Pos,90s,Completed,Attempted,Percentage Completed,Total Distance,Progressive Distance,Completed,Attempted,Percentage Completed,Completed,Attempted,Percentage Completed,Attempted,Percentage Completed,Assists,xA,A-xA,Key Passes,1/3,PassesPA,CrossessPA,Prog
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,19.7,45.1,57.2,78.9,756.8,352.6,23,26,88.7,17.2,21.2,81.3,7.72,52,0.05,0.04,0.01,0.56,3.45,1.32,0.2,5.69
2,Tammy Abraham\Tammy-Abraham,FW,11.6,12.8,18.8,68.3,177.3,28.2,7.93,10.2,78,3.36,5.52,60.9,1.29,60,0.09,0.08,0.01,0.69,1.03,0.17,0,0.95
3,Che Adams\Che-Adams,FW,29.6,15,21.4,70,248.6,55.2,7.67,10.2,75.2,4.83,6.22,77.7,2.47,69.9,0.17,0.2,-0.03,1.15,0.91,0.84,0.07,2.06
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,32.8,48.6,55.6,87.4,1138.3,363.7,9.27,10.4,89.4,28.5,30,94.8,14.3,73.6,0,0.01,-0.01,0.15,2.07,0.15,0.03,2.23
5,Adrián\Adrian,GK,3,25.3,33,76.8,677,378.3,5.33,5.33,100,12.3,12.7,97.4,14.3,48.8,0,0,0,0,0,0,0,0
6,Sergio Agüero\Sergio-Aguero,FWMF,6.2,23.1,27.4,84.1,301.1,46,13.2,15.2,87.2,6.77,7.74,87.5,0.81,100,0.16,0.21,-0.05,0.97,1.77,0.97,0.16,1.94
7,Ola Aina\Ola-Aina,DF,29.6,44.9,57.8,77.7,862.8,348.7,17.8,19.7,90.1,20.8,24.2,86.1,12,48,0.03,0.05,-0.01,0.47,3.31,0.51,0.3,3.31
8,Rayan Aït Nouri\Rayan-Ait-Nouri,DF,15.6,42.1,50.3,83.7,694.6,197.1,21,22.8,91.9,17.8,20,89.1,5.19,50.6,0.06,0.06,0,0.83,1.92,0.9,0.32,2.95
9,Semi Ajayi\Semi-Ajayi,DF,30.9,22.8,30.7,74.4,502.5,213.3,6.41,7.51,85.3,11.8,14.4,81.8,8.25,53.7,0,0.01,-0.01,0.16,2.17,0.13,0,2.07
10,Nathan Aké\Nathan-Ake,DF,8.9,78.9,84.8,93,1446.4,397.1,32.5,33.6,96.7,39.2,41.8,93.8,8.2,82.2,0,0,0,0.11,6.74,0.22,0,4.04
11,Marc Albrighton\Marc-Albrighton,DFFW,19.4,32.7,47.6,68.8,587.3,238.6,16.4,19.7,83.3,10.9,13.6,80.2,10.3,42.2,0.26,0.23,0.03,2.01,2.63,2.16,0.82,4.48
12,Thiago Alcántara\Thiago-Alcantara,MF,20.6,72.7,81.3,89.5,1533.7,399.6,25.3,27.4,92.6,32.6,35.2,92.7,16.4,82.2,0,0.11,-0.11,1.41,10,1.31,0.05,8.93
13,Toby Alderweireld\Toby-Alderweireld,DF,24.9,45.9,54.8,83.7,1089.4,302.7,10.7,11.5,92.7,23.3,25.1,93,17.3,66.4,0,0.01,-0.01,0.28,3.05,0.24,0.04,2.09
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,0.2,35,55,63.6,630,255,10,10,100,25,25,100,20,0,0,0,0,0,0,0,0,0
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,33.7,65.8,87.3,75.3,1409.9,578.6,23.3,26.4,88.2,29.5,35.3,83.6,23.1,53.9,0.21,0.24,-0.03,2.17,6.17,3,0.95,8.25
16,Ezgjan Alioski\Ezgjan-Alioski,DF,27.3,47.8,59.7,80.1,813.4,304.8,23,25.8,89.5,20.8,24.2,85.8,7.18,49.5,0.11,0.11,0,0.99,3,1.17,0.48,4.18
17,Alisson\Alisson,GK,33,29.3,34.5,85.1,767,404.4,4.82,4.88,98.8,15.9,16.2,98.1,13.2,64.2,0,0,0,0,0.21,0,0,0.03
18,Allan\Allan,MF,22.8,39.4,46,85.8,744.9,190.7,16.2,17.6,92,16.8,18.8,89.3,7.81,72.5,0,0.04,-0.04,0.7,3.99,0.66,0.04,3.6
19,Dele Alli\Dele-Alli,MF,6.9,39.1,48.8,80.1,674.5,155.1,18,21,85.5,16.8,19.1,87.9,5.65,66.7,0.14,0.13,0.01,1.16,2.46,1.3,0.14,3.91
20,Miguel Almirón\Miguel-Almiron,MFFW,27,26.3,32.5,81.1,449,100,13,14.6,89.1,10,11.7,85.2,4.04,60.6,0.04,0.1,-0.07,1.04,2.07,0.96,0.26,2.41
21,Marcos Alonso\Marcos-Alonso,DF,10.7,45.1,55.3,81.6,759.3,267.9,22.3,25,89.5,19.3,22.4,86.3,5.79,54.8,0,0.1,-0.1,1.12,1.78,0.75,0.19,4.58
22,Steven Alzate\Steven-Alzate,MFDF,10,39.9,44.6,89.5,692.8,132.1,19.4,21.3,91.1,15.4,16.3,94.5,5.4,83.3,0,0.05,-0.05,1,3.3,0.6,0,3.5
23,Daniel Amartey\Daniel-Amartey,DF,8,50,58.3,85.8,950.8,295.3,17,18.3,93.2,26.5,30,88.3,7.75,72.6,0,0,0,0,2.38,0.13,0,3.13
24,Ethan Ampadu\Ethan-Ampadu,DFMF,23.2,36.9,45.9,80.5,744.7,237.3,13.2,15.2,86.7,17.5,20.3,86.2,9.09,63.5,0,0.04,-0.04,0.43,2.97,0.69,0.09,3.62
25,Joachim Andersen\Joachim-Andersen,DF,30.3,50.5,60.5,83.4,1261.9,374.6,9.9,11,89.8,27.1,29.5,91.8,19,68.8,0.03,0.02,0.02,0.3,3.99,0.3,0.03,3.27
26,Elliot Anderson\Elliot-Anderson,MF,0,1,1,100,10,0,1,1,100,0,0,,0,,0,0,0,0,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,FWMF,0,4,6,66.7,61,28,2,2,100,2,4,50,0,,0,0,0,0,0,0,0,2
28,Michail Antonio\Michail-Antonio,FW,21.9,14.9,22.4,66.5,228.7,42.2,8.63,11.8,73,4.11,6.12,67.2,2.37,57.7,0.23,0.11,0.12,1.05,1,0.55,0.09,1.14
29,Alphonse Areola\Alphonse-Areola,GK,36,20.5,27.8,73.6,560.1,334.2,6.14,6.14,100,6.97,7.06,98.8,14.1,48.7,0,0,0,0,0.17,0,0,0
30,Stuart Armstrong\Stuart-Armstrong,MF,30.7,32.6,41,79.7,541.2,153.5,16.8,19.7,85.3,12.5,14.5,86.3,4.14,66.9,0.16,0.09,0.07,1.11,2.93,1.3,0.16,3.78
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,6.5,30.5,37.4,81.5,801.4,403.4,7.54,7.85,96.1,13.7,13.7,100,15.8,58.3,0,0,0,0,0.46,0,0,0.15
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,25.9,20,26.7,75,304.4,58.2,11.2,13.7,81.4,7.07,9.19,76.9,1.97,54.9,0.12,0.11,0.01,0.85,0.69,1.04,0.35,1.93
33,Serge Aurier\Serge-Aurier,DF,17.8,43.2,53.6,80.6,708.8,290.5,22.6,25.1,90.1,16.7,21,79.6,5.56,58.6,0.17,0.11,0.06,0.67,1.63,1.12,0.34,3.43
34,Charlie Austin\Charlie-Austin,FW,1.5,16.7,22.7,73.5,249.3,89.3,8,9.33,85.7,8,10.7,75,1.33,50,0,0,0,0,0,0,0,2.67
35,Jordan Ayew\Jordan-Ayew,FWMF,23.3,22.1,28.1,78.6,308.7,52.5,13.7,16,85.8,6.27,7.94,78.9,1.76,56.1,0.13,0.03,0.1,0.52,0.52,0.6,0.09,1.55
36,Luke Ayling\Luke-Ayling,DF,37.8,55.8,70.4,79.3,1135.7,455.7,20.2,22.9,88.3,26.4,30.3,86.9,15.2,57.8,0,0.07,-0.07,0.66,4.68,0.93,0.32,5.37
37,César Azpilicueta\Cesar-Azpilicueta,DF,24.3,72.6,82.9,87.5,1266.3,455.1,30.9,33.1,93.3,35.9,39.2,91.6,8.27,59.2,0.08,0.11,-0.02,1.07,5.35,1.03,0.21,4.77
38,Eric Bailly\Eric-Bailly,DF,10.2,48.4,53.6,90.3,1018,305.2,13.6,14.5,93.9,27.5,29.8,92.4,8.92,78,0,0,0,0,2.75,0,0,2.84
39,Fabián Balbuena\Fabian-Balbuena,DF,13.3,26.8,35,76.8,646.8,247.8,5.79,6.62,87.5,14.1,16,87.8,11.6,57.8,0,0,0,0,2.48,0,0,2.26
40,George Baldock\George-Baldock,DF,31,29.4,37.4,78.5,447,147.1,17.1,18.6,91.7,9.74,12.5,78.2,3.9,43.8,0.06,0.05,0.01,0.55,1.26,0.94,0.26,1.97
41,Gareth Bale\Gareth-Bale,FW,10.2,27.8,40,69.6,546.5,174.3,13.8,16.7,82.9,7.94,11.3,70.4,9.31,55.8,0.2,0.19,0.01,1.96,2.25,1.57,0.59,3.14
42,Patrick Bamford\Patrick-Bamford,FW,33.9,11.4,14.9,76.3,154.3,25.7,6.61,8.47,78,3.24,3.98,81.5,0.8,81.5,0.21,0.12,0.09,0.86,0.62,0.38,0.06,0.91
43,Phil Bardsley\Phil-Bardsley,DF,3,38.7,55,70.3,752,316.3,15.7,16.3,95.9,17,22.3,76.1,13.3,40,0,0,0,0,3,2,0.33,3.67
44,Ross Barkley\Ross-Barkley,MF,17,36.4,44.9,81,670.1,171.1,17.1,19.5,87.6,13.5,15.6,86.8,7.82,64.7,0.06,0.21,-0.15,2.29,2.65,1.59,0,4.47
45,Ross Barkley\Ross-Barkley,MF,0.5,44,52,84.6,882,144,20,26,76.9,16,18,88.9,8,100,0,0.2,-0.2,2,4,2,0,4
46,Ashley Barnes\Ashley-Barnes,FW,14.8,13.2,20.7,63.5,174.3,38.8,8.72,11.7,74.6,3.04,5,60.8,1.96,27.6,0,0.05,-0.05,0.88,0.88,0.47,0.07,1.35
47,Harvey Barnes\Harvey-Barnes,FWMF,21.6,21.7,29,74.8,335.1,86.8,12.3,15.3,80.1,7.27,9.17,79.3,2.36,64.7,0.19,0.07,0.12,1.16,1.71,0.88,0.09,2.87
48,Kyle Bartley\Kyle-Bartley,DF,28.7,22,28.2,77.9,469.5,152.9,6.79,8.26,82.3,11.3,13,86.4,6.45,56.8,0.03,0.01,0.03,0.14,1.81,0.1,0.03,1.05
49,Chris Basham\Chris-Basham,DFMF,28.6,31.5,38.6,81.4,569.4,164.8,14.1,15.8,89.6,13.2,15.5,84.9,5.91,62.1,0.03,0.03,0.01,0.35,1.89,0.52,0.24,2.17
50,Michy Batshuayi\Michy-Batshuayi,FW,8.1,14.6,20.7,70.2,212.6,43.2,7.78,10,77.8,4.81,6.79,70.9,1.23,80,0.12,0.17,-0.05,0.86,0.86,0.49,0.12,1.36
51,Jan Bednarek\Jan-Bednarek,DF,34.4,49.3,58.3,84.6,944.1,314.2,18.2,19.6,92.6,25.5,27.9,91.2,9.65,53.6,0.03,0.01,0.02,0.15,2.33,0.12,0,2.33
52,Donny van de Beek\Donny-van-de-Beek,MFFW,5.8,40.5,48.1,84.2,629.5,130.7,21.7,24.3,89.4,16.2,17.6,92.2,2.93,64.7,0.17,0.17,0,0.52,1.9,0.34,0.17,1.72
53,Héctor Bellerín\Hector-Bellerin,DF,23.2,46.5,56.1,82.9,781.9,221.9,21.5,24.8,86.6,21.4,24.7,86.6,4.35,62.4,0.09,0.1,-0.02,0.95,2.63,1.25,0.39,3.79
54,Saïd Benrahma\Said-Benrahma,FWMF,15.5,26.5,34,78,412.5,117.7,15.2,17,89.4,8.52,10.7,79.5,4.26,43.9,0.39,0.28,0.1,1.74,2.65,1.42,0.39,3.03
55,Josh Benson\Josh-Benson,MF,2.9,21.4,29.3,72.9,298.3,111,13.1,14.5,90.5,5.86,8.28,70.8,4.14,33.3,0,0,0,0,1.38,0,0,2.41
56,Christian Benteke\Christian-Benteke,FW,20.2,18.1,28.4,63.9,250,49,10.7,16.1,66.6,5.1,8.47,60.2,1.49,70,0.05,0.05,0,0.74,1.24,0.69,0.1,1.63
57,Gaetano Berardi\Gaetano-Berardi,DF,1.3,35.4,43.1,82.1,690.8,327.7,10.8,12.3,87.5,20.8,23.1,90,6.92,55.6,0,0,0,0,1.54,0.77,0,2.31
58,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,15.1,23.6,31.3,75.4,405.2,98.9,12.6,14.6,86.4,7.48,9.47,79,6.03,48.4,0,0.03,-0.03,0.66,1.26,0.99,0.33,2.25
59,Sander Berge\Sander-Berge,MF,12.4,30.6,37.4,81.9,557.3,114.8,13.2,15.9,83.2,13.1,14.8,88.6,5.08,71.4,0.08,0.1,-0.02,0.97,2.66,0.32,0.16,2.42
60,Steven Bergwijn\Steven-Bergwijn,FWMF,13.4,25.9,31.9,81.1,361.3,63.4,16.1,18.1,89.3,7.76,9.55,81.3,2.31,29,0.22,0.1,0.13,1.04,1.57,0.67,0,1.34
61,Bernard\Bernard,MFFW,5.1,42.4,53.3,79.4,704.1,181,21.2,23.9,88.5,15.9,20,79.4,5.69,72.4,0,0.14,-0.14,1.96,4.12,2.16,0.39,4.51
62,Bernardo\Bernardo,DFMF,2.3,27,37.8,71.3,453,125.2,13.9,16.5,84.2,10.4,14.8,70.6,2.61,83.3,0,0.09,-0.09,0.87,1.3,0.87,0.43,2.61
63,Ryan Bertrand\Ryan-Bertrand,DF,28.9,40.9,53.2,76.8,673,258.7,20.8,23.6,88.1,16.3,20.5,79.6,6.54,42.9,0.03,0.04,-0.01,0.45,2.25,0.83,0.17,3.36
64,Yves Bissouma\Yves-Bissouma,MF,34.6,42.2,48.4,87.2,843.4,156.5,14.9,16.8,88.7,20,21.9,91.5,8.47,78.2,0,0.03,-0.03,0.43,3.55,0.61,0.06,3.29
65,Jayden Bogle\Jayden-Bogle,DF,12.3,24.4,31.1,78.3,388,152,14,15.9,87.8,7.07,8.78,80.6,4.31,56.6,0,0.02,-0.02,0.33,1.38,0.57,0.08,1.87
66,Willy Boly\Willy-Boly,DF,20.9,39.7,48,82.8,778.9,269.7,13.3,14.9,88.8,20.9,23.2,89.9,8.9,58.1,0.05,0.02,0.03,0.14,2.25,0.05,0,1.91
67,Jarrod Bowen\Jarrod-Bowen,FWMF,28.5,17.5,25.8,68,339.9,75.4,7.51,9.82,76.4,6.7,8.53,78.6,5.82,50,0.18,0.16,0.01,0.98,0.77,0.77,0.32,1.3
68,Robbie Brady\Robbie-Brady,MF,11.7,22.7,33.6,67.7,402,139.1,11.4,13.8,82.6,7.52,11,68.2,6.67,43.6,0.09,0.08,0.01,0.6,1.97,0.51,0.34,2.74
69,Rhian Brewster\Rhian-Brewster,FW,12.5,12.5,18,69.3,210.3,51.9,6.88,8.88,77.5,3.76,5.44,69.1,2.64,60.6,0,0.14,-0.14,0.64,1.04,0.32,0.16,1.12
70,Nathan Broadhead\Nathan-Broadhead,MF,0,2,2,100,21,2,2,2,100,0,0,,0,,0,0,0,0,0,0,0,0
71,Josh Brownhill\Josh-Brownhill,MF,31.3,30,37.9,79,475.6,107.9,15.6,17.9,87.3,10.4,12.8,81.1,4.86,52.6,0.03,0.04,0,0.61,2.11,0.54,0.06,2.11
72,Joe Bryan\Joe-Bryan,DFFW,7.4,39.9,56.8,70.2,707.6,298.9,19.9,23.2,85.5,15.1,19.3,78.3,11.2,37.3,0,0.05,-0.05,0.81,3.11,0.68,0.27,3.65
73,Kean Bryan\Kean-Bryan,DF,11.2,28.8,39.6,72.9,590.5,271.5,10.5,11.5,91.5,13.1,16,82.1,10.3,43.5,0,0.04,-0.04,0.36,2.41,0.27,0.09,1.96
74,Oliver Burke\Oliver-Burke,FW,14.1,13.1,18.6,70.6,172.6,23.1,8.09,10.4,77.6,3.69,4.75,77.6,0.85,41.7,0.07,0.13,-0.06,0.92,0.35,0.57,0.07,0.78
75,Dan Burn\Dan-Burn,DF,22.9,41.6,54.2,76.7,737.2,230.8,17.4,21.3,81.8,20.8,25,83.4,6.2,46.5,0,0.04,-0.04,0.39,3.19,0.66,0.22,3.36
76,Jack Butland\Jack-Butland,GK,1,6,21,28.6,258,207,2,2,100,0,0,,19,21.1,0,0,0,0,1,0,0,0
77,David Button\David-Button,GK,1,16,37,43.2,687,484,2,2,100,2,2,100,33,36.4,0,0,0,0,0,0,0,0
78,Oskar Buur\Oskar-Buur,DF,0.2,70,75,93.3,1005,235,45,45,100,25,25,100,5,0,0,0,0,0,0,0,0,0
79,Willy Caballero\Willy-Caballero,GK,1,24,26,92.3,496,302,8,8,100,13,13,100,5,60,0,0,0,0,0,0,0,0
80,Gary Cahill\Gary-Cahill,DF,20,29.5,34.9,84.6,642.8,220.8,8.2,9.55,85.9,16.4,17.6,93.4,7.4,63.5,0.05,0.03,0.01,0.4,1.7,0.05,0,1.7
81,Tom Cairney\Tom-Cairney,MF,8.4,65.6,73.9,88.7,1329.2,239.2,25.5,27,94.3,27,29.4,91.9,15.2,78.1,0.12,0.17,-0.05,2.38,7.26,1.19,0.6,3.81
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,31.9,15,21,71.6,225.6,36,8.9,11.6,77,4.11,6.05,67.9,1.66,83,0,0.06,-0.06,0.53,0.85,0.34,0.03,1.13
83,João Cancelo\Joao-Cancelo,DF,25.5,70.4,82.1,85.7,1246.8,352.4,33.4,36.2,92.3,28.7,32.6,87.9,10.8,68.8,0.12,0.19,-0.07,1.73,5.29,2.71,0.35,6.51
84,Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,3.9,22.1,30,73.5,354.9,123.6,10.8,13.6,79.2,8.46,10.5,80.5,3.59,57.1,0,0.21,-0.21,1.03,1.79,2.31,0.51,4.62
85,Andy Carroll\Andy-Carroll,FW,4.4,20.2,32,63.1,321.6,98.4,12,16.8,71.6,5.91,10.5,56.5,3.18,50,0,0.02,-0.02,0.45,2.27,0.68,0,2.73
86,Scott Carson\Scott-Carson,GK,1,15,16,93.8,334,200,3,3,100,9,9,100,4,75,0,0,0,0,0,0,0,0
87,Fabio Carvalho\Fabio-Carvalho,MFFW,2.8,23.9,30.7,77.9,310.4,35,16.8,19.6,85.5,5.36,6.43,83.3,1.79,60,0,0.14,-0.14,0.71,1.07,0.71,0,1.79
88,Matty Cash\Matty-Cash,DF,26.4,36.3,49.2,73.9,705.2,263.9,14.9,16.7,89.5,15.6,19.6,79.7,11.6,45.9,0.08,0.08,-0.01,0.83,2.95,0.91,0.61,2.42
89,Kiko Casilla\Kiko-Casilla,GK,3,27.3,31.3,87.2,691,410,9,9,100,9.67,9.67,100,12.3,67.6,0,0,0,0,0,0,0,0
90,Timothy Castagne\Timothy-Castagne,DF,26.1,48.5,57.9,83.8,791.3,273.7,24.3,26.6,91.5,21,24.2,86.8,5.4,52.5,0.11,0.08,0.04,0.84,3.33,0.8,0.27,3.79
91,Jonny Castro\Jonny-Castro,DF,5.5,34.2,43.5,78.7,503.6,182.2,20.2,23.1,87.4,12,14.4,83.5,3.45,42.1,0,0.02,-0.02,0.55,1.45,0.18,0.18,2
92,Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,27.5,21.8,30.3,72,364.5,88.3,11.2,13.7,81.2,7.75,9.6,80.7,4.76,45.8,0,0.12,-0.12,1.6,0.69,1.09,0.4,1.82
93,Edinson Cavani\Edinson-Cavani,FW,15.3,17.6,22.4,78.7,295.2,41,8.76,10.7,82.2,6.21,7.39,84.1,2.35,83.3,0.2,0.18,0.02,0.98,1.05,0.85,0.07,1.18
94,Dani Ceballos\Dani-Ceballos,MF,17.9,62.1,71.8,86.5,1230.6,289.5,23.2,25.5,90.8,28.5,31.2,91.6,12.8,74.8,0.17,0.16,0.01,1.51,7.32,1.23,0.17,5.98
95,Calum Chambers\Calum-Chambers,DF,8.4,55,68.5,80.3,988.2,284.3,24.5,27.5,89.2,24.3,28.7,84.6,10.1,55.3,0.24,0.13,0.11,1.31,2.86,1.07,0.6,2.74
96,Ben Chilwell\Ben-Chilwell,DF,25.4,55.9,71.1,78.6,946.4,317.5,28,30.7,90.9,21.9,26.9,81.4,10.3,46.6,0.2,0.11,0.09,1.18,3.43,1.02,0.43,5
97,Hamza Choudhury\Hamza-Choudhury,MF,3.5,54.3,67.1,80.9,1052,176,20.9,26.3,79.3,25.4,29.1,87.3,9.71,73.5,0,0,0,0,3.71,0,0,2.29
98,Andreas Christensen\Andreas-Christensen,DF,15.2,66.5,71.6,92.8,1403.6,378.6,19.4,20.8,93.4,36.3,38,95.3,12,86.3,0,0.03,-0.03,0.39,2.89,0.2,0,3.03
99,Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,0.2,25,40,62.5,440,50,15,15,100,5,10,50,10,50,0,0,0,0,0,0,0,0
100,Ciaran Clark\Ciaran-Clark,DF,21,29.5,35.6,83,604.1,186.8,9.43,10.8,87.2,14.9,16.4,90.4,7.48,65,0,0,0,0.1,1.67,0.1,0,1.67
101,Nathaniel Clyne\Nathaniel-Clyne,DF,12.7,34.4,44.8,76.8,543.9,216.7,18.3,20.3,89.9,12.9,16.1,80,5.91,40,0.08,0.03,0.05,0.31,1.57,1.02,0.47,1.97
102,Conor Coady\Conor-Coady,DF,36.7,42.9,48.7,88.1,1106.7,390.1,7.82,8.26,94.7,22.1,23.1,95.7,16.8,76.1,0,0,0,0.05,2.13,0.03,0,1.61
103,Séamus Coleman\Seamus-Coleman,DFMF,17.9,34.9,42.8,81.5,623.6,228.4,16.7,18.4,90.9,13.9,16.4,85,6.65,60.5,0.17,0.11,0.06,1.01,1.79,0.78,0.28,2.4
104,Aaron Connolly\Aaron-Connolly,FW,8.8,8.98,11.5,78.2,130.3,18.8,5.11,6.36,80.4,2.95,3.41,86.7,0.57,80,0.11,0.02,0.09,0.57,0.23,0.11,0,0.34
105,Liam Cooper\Liam-Cooper,DF,24.3,56.1,64,87.7,1299.4,385.5,12,12.8,93.3,32.3,33.8,95.5,16.7,70,0,0,0,0,3.21,0.12,0,2.76
106,Theo Corbeanu\Theo-Corbeanu,FW,0.1,30,30,100,530,280,10,10,100,0,0,,10,100,0,1,-1,10,0,10,10,0
107,Jack Cork\Jack-Cork,MF,15,27.5,33.3,82.8,439.3,85.8,14.3,16.2,88.5,9.8,10.8,90.7,4.07,59,0,0.04,-0.04,0.47,2.6,0.2,0,1.73
108,Hélder Costa\Helder-Costa,MFFW,12.8,18.9,25.6,73.8,257.7,68.9,12.3,14.1,87.8,5.31,7.27,73.1,1.8,30.4,0.23,0.07,0.16,0.7,0.55,1.02,0.31,1.25
109,Vladimír Coufal\Vladimir-Coufal,DF,33.9,35.4,49.9,70.9,607.2,300.1,17,19.3,87.9,14.3,19.5,73.5,8.61,40.8,0.21,0.14,0.07,1.36,2.42,1.18,0.68,3.51
110,Aaron Cresswell\Aaron-Cresswell,DF,35.2,43.8,58.6,74.8,877.4,419.4,18.6,20.9,89,17.5,20.9,83.7,14.7,48.6,0.23,0.17,0.06,1.7,4.23,0.68,0.48,3.41
111,Patrick Cutrone\Patrick-Cutrone,FWMF,0.3,13.3,16.7,80,223.3,6.67,6.67,10,66.7,6.67,6.67,100,0,,0,0,0,0,0,0,0,0
112,Stuart Dallas\Stuart-Dallas,DFMF,37.9,47.8,58.4,82,836.8,262.5,23.7,26.1,91,18.7,22.2,84.3,8.02,60.2,0.05,0.06,0,0.71,3.72,1,0.24,4.8
113,Scott Dann\Scott-Dann,DF,15,33.9,40.3,84.1,693.1,317.2,10.8,11.9,90.5,18.2,19.6,92.9,8.07,57.9,0,0,0,0.07,1.6,0,0,1.87
114,Karl Darlow\Karl-Darlow,GK,25,14.6,29,50.1,621.6,457.1,1,1,100,4.44,4.6,96.5,23.4,38.9,0,0,0,0.04,0.32,0,0,0
115,Ben Davies\Ben-Davies,DF,15,40.7,52.2,77.9,727.2,280.9,17.7,19.7,90.2,18.8,22.1,84.9,8.47,41.7,0.07,0.04,0.03,0.47,2.8,0.6,0.27,2.87
116,Tom Davies\Tom-Davies,MF,15.8,36.3,43.3,83.8,693.9,169.9,14.9,16.7,89.4,15.9,18,88.7,6.77,72.9,0.06,0.06,0,0.44,2.72,0.44,0.13,2.97
117,Keinan Davis\Keinan-Davis,FWMF,3.1,18.7,25.5,73.4,271.9,45.5,11.6,12.9,90,6.13,9.35,65.5,1.29,50,0.32,0.16,0.16,1.61,0.32,0.97,0,0.97
118,Leif Davis\Leif-Davis,DF,0.4,40,47.5,84.2,960,397.5,7.5,7.5,100,25,27.5,90.9,12.5,60,0,0,0,0,0,2.5,0,2.5
119,Craig Dawson\Craig-Dawson,DF,21.4,27.7,33.6,82.5,660.2,184.3,6.03,6.54,92.1,14.2,15.3,92.4,11.1,64.6,0,0,0,0.05,1.92,0.05,0,1.17
120,Kevin De Bruyne\Kevin-De-Bruyne,MF,22.2,48.1,63.3,76,950.9,278.5,20.4,24.1,84.3,18.8,23.1,81.4,12.6,62.9,0.54,0.46,0.08,3.56,5.77,3.56,0.41,7.79
121,Liam Delap\Liam-Delap,FW,0.4,12.5,17.5,71.4,112.5,0,10,15,66.7,0,0,,0,,0,0,0,0,0,0,0,0
122,Fabian Delph\Fabian-Delph,MFDF,3,68.7,78,88,1195.3,312.3,31.3,33.3,94,30.3,32.7,92.9,10.3,58.1,0,0.03,-0.03,0.67,5,0.33,0,5
123,Leander Dendoncker\Leander-Dendoncker,MFDF,27.8,36.7,41.8,87.9,695,154.6,14.6,16.1,90.6,16.2,18,89.8,6.08,83.4,0,0.03,-0.03,0.58,2.3,0.29,0.07,2.23
124,Mbaye Diagne\Mbaye-Diagne,FW,13.2,12.3,17.4,70.4,181.7,34.5,7.95,9.62,82.7,3.18,5.3,60,1.59,57.1,0.15,0.13,0.02,0.91,0.98,0.38,0.15,1.21
125,Amad Diallo\Amad-Diallo,FW,1.8,30,35.6,84.4,466.1,121.7,16.1,18.3,87.9,10,11.1,90,2.78,80,0.56,0.28,0.28,1.11,2.78,0.56,0,2.78
126,Ibrahima Diallo\Ibrahima-Diallo,MF,11.3,44.2,51.9,85.2,774.8,174.5,19.4,21.9,88.7,20.4,22,92.4,6.73,53.9,0,0.05,-0.05,0.71,3.19,0.53,0.09,2.92
127,Grady Diangana\Grady-Diangana,MFFW,13.7,18.7,25.6,72.9,262.3,65.2,10.7,13.2,80.7,6.72,8.47,79.3,2.04,28.6,0,0.01,-0.01,0.36,1.09,0.51,0,1.9
128,Raphael Dias Belloli\Raphael-Dias-Belloli,MF,26.2,26.9,40.3,66.6,513.5,205.5,12.3,14.5,85,9.66,13.7,70.5,9.5,45.4,0.34,0.31,0.03,2.52,3.09,1.6,0.34,5.15
129,Rúben Dias\Ruben-Dias,DF,31.6,79.1,84.6,93.5,1717.2,462.2,19.5,20.5,95.4,45.2,46.6,97,16.5,84.4,0,0,0,0.09,5.25,0.28,0.03,3.67
130,Eric Dier\Eric-Dier,DF,28,50,59.1,84.6,1129.6,381.7,14,15.5,90.8,25.4,27.4,92.8,15.3,67.4,0,0,0,0.11,2.57,0.18,0,2.21
131,Lucas Digne\Lucas-Digne,DF,29.8,41.1,56.7,72.5,739.7,298.6,19.4,22.3,87,16.4,21.2,77.3,10.3,44,0.23,0.18,0.05,1.48,2.11,1.24,0.87,3.62
132,Virgil van Dijk\Virgil-van-Dijk,DF,4.1,72.2,80.2,90,1726.3,514.4,14.9,15.9,93.8,42.9,45.4,94.6,18.8,76.6,0,0,0,0,6.34,0,0,4.88
133,Issa Diop\Issa-Diop,DF,15.3,31,36.8,84.4,613,189.5,10.5,12,87,15.9,17.5,91.4,6.6,64.4,0,0,0,0.07,1.83,0,0,1.44
134,Moussa Djenepo\Moussa-Djenepo,MF,13.8,21.4,29,73.8,331.2,91.5,11.6,13.9,83.3,8.04,10.1,79.9,2.39,54.5,0,0.04,-0.04,0.51,1.23,0.94,0.14,1.74
