,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Rk,Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
25,Joachim Andersen\Joachim-Andersen,DF,Fulham,30.3,72.7,12,43.3,31.1,3.1,0.73,70.6,0.23,0.23,100,0.23,0,43.2,268.9,140.7,2.28,0.4,0,0.2,0.2,47.6,46.7,98.1,0.1
26,Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,0,2,0,0,1,1,1,2,0,0,,0,0,1,4,1,0,0,0,0,0,3,1,33.3,1
27,Felipe Anderson\Felipe-Anderson,FWMF,West Ham,0,7,0,0,5,3,1,7,0,0,,0,0,6,68,50,2,1,0,0,0,7,6,85.7,0
28,Michail Antonio\Michail-Antonio,FW,West Ham,21.9,37.2,0.5,1.64,16.4,21.9,5.94,36.4,2.15,3.7,58,2.42,0.09,26,132.2,84.4,4.89,1.51,1.23,3.52,2.6,55.7,29.3,52.6,8.68
29,Alphonse Areola\Alphonse-Areola,GK,Fulham,36,30.8,27.6,30.7,0.14,0,0,21.2,0,0,,0,0,12.6,58.4,27.8,0,0,0,0.03,0,11.2,11.2,99.5,0
30,Stuart Armstrong\Stuart-Armstrong,MF,Southampton,30.7,54.2,1.56,9.28,31.6,18.8,2.15,51.8,1.82,3.19,57.1,1.92,0.03,37.8,241.7,139.7,6.09,2.44,0.36,1.73,2.28,45,37,82.2,3.78
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,6.5,39.4,37.1,39.1,0.62,0,0,31.5,0,0,,0,0,22.8,88.5,46.6,0,0,0,0.31,0,22.8,22.8,100,0
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,25.9,34.9,0.93,4.86,14.1,18.2,4.86,34,0.46,1.08,42.9,0.5,0,23.4,135.2,80,4.09,1.35,1.08,1.24,0.73,48.3,27.6,57.1,7.18
33,Serge Aurier\Serge-Aurier,DF,Tottenham,17.8,68,4.78,23.9,30.8,15.8,1.35,59.2,1.01,1.97,51.4,1.07,0,38.2,130.1,68.2,3.2,0.9,0.17,0.73,1.12,42.9,38.2,89,2.25
34,Charlie Austin\Charlie-Austin,FW,West Brom,1.5,38.7,3.33,6,15.3,18.7,2,37.3,1.33,2.67,50,1.33,0,23.3,83.3,44.7,1.33,0,0.67,4,2.67,60.7,26.7,44,4
35,Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,23.3,44.1,0.82,6.57,23.5,18,2.7,43.4,1.93,3.69,52.3,2.15,0.13,32.5,185.7,97.4,3.52,1.67,0.6,2.49,3.39,51.8,31.1,60.1,4.72
36,Luke Ayling\Luke-Ayling,DF,Leeds United,37.8,82.9,7.43,38,38,14.5,1.83,73.8,1.01,1.61,62.3,1.03,0.16,50.5,348.8,218.1,6.14,1.93,0.21,0.93,0.69,55.8,52.5,94.1,1.61
37,César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,24.3,93.4,5.6,33.9,44.3,19.1,1.56,85.9,0.21,0.41,50,0.21,0,54.8,236.6,148.6,4.69,1.52,0.04,0.33,0.53,68.1,65.1,95.5,1.48
38,Eric Bailly\Eric-Bailly,DF,Manchester Utd,10.2,64,10.3,37.5,29.7,1.27,0.39,62.7,0.49,0.59,83.3,0.49,0,40.9,262.4,135.4,3.33,0.2,0,0.2,0.1,42.5,41.9,98.6,0
39,Fabián Balbuena\Fabian-Balbuena,DF,West Ham,13.3,45.9,6.77,23.8,22.6,1.8,0.75,44.3,0.15,0.23,66.7,0.15,0,24.4,113.9,52.3,0.98,0.23,0,0.15,0,25.3,24.2,95.8,0.38
40,George Baldock\George-Baldock,DF,Sheffield Utd,31,47.6,3.48,13.5,16.8,20.2,1.58,41.1,0.74,1.52,48.9,0.81,0,27.2,160.4,90,4.16,1.55,0.35,0.74,0.71,29.8,26.1,87.4,2.06
41,Gareth Bale\Gareth-Bale,FW,Tottenham,10.2,55,1.76,8.33,26.6,23.9,4.51,51.5,2.84,4.9,58,2.94,0.2,36.6,221.8,111,6.18,1.67,1.08,1.96,1.08,52.3,38.6,73.9,6.96
42,Patrick Bamford\Patrick-Bamford,FW,Leeds United,33.9,25.6,1.36,2.6,11.9,12,5.4,23,0.5,1.15,43.6,0.65,0.12,13.1,56.3,26.6,1.65,0.5,0.56,2.42,1.12,40.6,16.9,41.6,6.17
43,Phil Bardsley\Phil-Bardsley,DF,Burnley,3,65.3,5,21.3,33.3,14.3,0.67,53.3,0.67,0.67,100,0.67,0.33,29.3,140.3,63.3,3.67,1,0,0.33,0.67,33,31.3,94.9,0.33
44,Ross Barkley\Ross-Barkley,MF,Aston Villa,17,55.5,0.94,8.06,24.8,26.1,3.88,49.9,2,2.76,72.3,2.06,0,35.8,196.4,107,4.76,1.65,0.65,2,2.24,48.1,38.2,79.3,4.88
45,Ross Barkley\Ross-Barkley,MF,Chelsea,0.5,66,0,16,38,16,2,66,8,10,80,8,0,50,254,168,6,2,0,2,0,64,48,75,10
46,Ashley Barnes\Ashley-Barnes,FW,Burnley,14.8,34.5,0.68,3.45,15.5,17.1,4.66,34.3,0.14,0.41,33.3,0.2,0,20.3,63,28.6,1.76,0.61,0.27,3.45,1.69,50.5,25.3,50.1,6.82
47,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,21.6,43.2,0.83,5.65,19.5,23.9,5.05,43.1,1.3,3.19,40.6,1.3,0.05,32.5,234.8,165.7,8.24,3.84,1.76,2.45,2.45,46.3,32.7,70.6,6.25
48,Kyle Bartley\Kyle-Bartley,DF,West Brom,28.7,40.5,9.65,24.4,15.2,2.58,1.39,39.4,0.1,0.14,75,0.1,0,16.4,88.8,36.2,0.66,0.17,0,0.31,0.17,21.1,18,85.2,0.14
49,Chris Basham\Chris-Basham,DFMF,Sheffield Utd,28.6,50.8,6.29,21.1,22.2,11.1,1.54,48.6,0.66,0.98,67.9,0.77,0.03,28.8,171.2,112.1,3.71,1.01,0.07,0.49,0.91,29.9,27.1,90.6,1.36
50,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,8.1,32,1.11,3.7,17,13.2,3.33,30.4,1.48,2.1,70.6,1.48,0.12,19.5,93.2,60.4,2.35,1.11,0.37,1.98,3.58,41.5,23.1,55.7,7.16
51,Jan Bednarek\Jan-Bednarek,DF,Southampton,34.4,70.2,8.9,38.8,33.2,1.63,0.49,67.7,0.06,0.12,50,0.06,0,39.4,204.2,104.5,2.27,0.23,0,0.15,0.12,43.9,43,97.9,0.09
52,Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,5.8,59.1,1.9,11.2,29.5,20.7,4.83,58.4,1.55,2.24,69.2,1.55,0,35.9,131.2,62.4,3.28,1.21,0,1.38,1.38,53.8,43.8,81.4,7.41
53,Héctor Bellerín\Hector-Bellerin,DF,Arsenal,23.2,64.6,2.41,17.5,28.9,21.6,2.16,57.6,0.69,1.34,51.6,0.78,0.13,40.2,191.8,119.1,4.96,1.42,0.56,0.69,0.39,45.5,41.4,91,3.19
54,Saïd Benrahma\Said-Benrahma,FWMF,West Ham,15.5,48.6,0.9,7.29,21.7,23.9,3.94,47.8,3.1,5.35,57.8,3.48,0.45,40.3,240.3,136.8,8,2.06,0.97,2.06,2.77,46.4,34.4,74.1,5.55
55,Josh Benson\Josh-Benson,MF,Burnley,2.9,39,1.72,6.55,18.3,15.5,1.03,37.6,1.72,2.76,62.5,1.72,0.34,25.5,84.1,40,1.72,1.03,0,1.03,2.07,28.6,22.8,79.5,1.38
56,Christian Benteke\Christian-Benteke,FW,Crystal Palace,20.2,42,2.33,4.21,21.2,17.8,6.29,41,0.79,1.44,55.2,0.84,0,17.7,64,29.4,2.03,0.5,0.5,2.97,1.34,59.7,32.1,53.7,7.28
57,Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,1.3,51.5,5.38,28.5,24.6,3.08,0.77,47.7,0,0,,0,0,30.8,134.6,54.6,0.77,0,0,0,0,33.1,33.1,100,0
58,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,15.1,39.8,1.46,6.56,17.7,17.9,2.05,39.3,0.4,1.39,28.6,0.53,0.07,28.3,162.8,82,4.83,1.46,0.4,0.79,1.06,35.6,27.2,76.2,3.77
59,Sander Berge\Sander-Berge,MF,Sheffield Utd,12.4,47.9,2.5,10.4,24.8,17.9,2.9,46.9,1.53,2.42,63.3,1.61,0.24,32.6,249.4,135.6,5.32,1.94,0.73,1.94,1.45,37.3,32.9,88.1,2.82
60,Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,13.4,42.5,0.97,6.34,20.1,20.5,3.13,41.8,1.57,3.06,51.2,1.72,0,33.3,178.5,95.7,4.7,1.79,0.67,2.16,1.72,46.8,31.6,67.6,5.22
61,Bernard\Bernard,MFFW,Everton,5.1,66.3,1.18,7.06,33.3,30.2,3.14,65.3,1.96,3.33,58.8,1.96,0.59,49.8,262.4,133.3,6.86,1.76,0.39,1.96,2.35,57.1,48.2,84.5,6.67
62,Bernardo\Bernardo,DFMF,Brighton,2.3,50.4,1.3,12.2,17.4,23.5,2.17,47.4,0,0.87,0,0,0,29.6,117.4,51.3,1.74,0.43,0,0.87,2.17,43,33.9,78.8,1.74
63,Ryan Bertrand\Ryan-Bertrand,DF,Southampton,28.9,62.4,2.39,16.1,30.4,19,1.63,51,0.17,0.24,71.4,0.17,0,32,154.8,86.4,4.01,1.31,0.38,0.73,0.42,40.8,35.3,86.4,2.42
64,Yves Bissouma\Yves-Bissouma,MF,Brighton,34.6,60.6,3.12,17,35.3,13.2,0.4,59.7,1.45,2.2,65.8,1.53,0.09,42.5,258.4,118.3,4.54,1.79,0.06,0.9,0.9,42.3,39.9,94.5,0.75
65,Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,12.3,45.4,2.28,12.1,15.3,20.2,3.01,40.1,1.38,3.09,44.7,1.63,0.08,26.3,102,48.1,2.2,0.49,0.08,1.38,1.87,31.2,23.7,75.8,2.68
66,Willy Boly\Willy-Boly,DF,Wolves,20.9,58.3,6.36,29.3,29.6,2.15,0.91,57.3,0.24,0.24,100,0.24,0,34.3,149.8,61,1.67,0.33,0,0.14,0.29,39.9,38.2,95.8,0.14
67,Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,28.5,37.4,0.53,5.61,15.1,20.3,4.21,34.8,1.4,2.25,62.5,1.4,0.11,26.9,192.2,82.9,3.96,0.98,1.3,1.79,2.32,39.8,24.8,62.3,6.18
68,Robbie Brady\Robbie-Brady,MF,Burnley,11.7,45,3.68,10.1,20.3,17.6,1.97,43.2,1.28,1.79,71.4,1.45,0.17,26.4,160.4,74.7,4.1,1.03,0.43,1.37,0.94,32.9,25.6,77.7,2.56
69,Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,12.5,28.2,0.48,2.48,10.8,16.3,2.64,27.5,0.72,1.36,52.9,0.72,0,17.1,61.7,31.2,1.68,0.64,0.24,1.76,1.28,38.1,18.5,48.5,5.6
70,Nathan Broadhead\Nathan-Broadhead,MF,Everton,0,3,0,1,2,0,0,3,0,0,,0,0,1,1,0,0,0,0,0,0,2,2,100,0
71,Josh Brownhill\Josh-Brownhill,MF,Burnley,31.3,48,2.3,8.98,26,14.9,2.08,47,0.45,0.61,73.7,0.48,0,23.7,98,42,2.04,0.7,0.22,0.7,0.45,30.5,25.9,84.9,2.72
72,Joe Bryan\Joe-Bryan,DFFW,Fulham,7.4,68.4,2.84,20.8,28.1,23,1.35,57.4,1.22,1.22,100,1.22,0,36.6,195.4,117.8,6.22,2.16,0,1.49,0.68,42.3,38.4,90.7,1.35
73,Kean Bryan\Kean-Bryan,DF,Sheffield Utd,11.2,52.8,5.71,26.2,24.6,5.89,0.63,50.9,0.27,0.45,60,0.27,0,28.3,139.8,65,0.98,0.71,0,0.36,0.45,29.9,28.3,94.6,0.71
74,Oliver Burke\Oliver-Burke,FW,Sheffield Utd,14.1,30.6,0.35,2.41,13.2,17,4.75,29.7,1.28,1.84,69.2,1.28,0.21,18.5,94.3,48.8,2.98,0.43,1.42,3.12,2.2,45.9,21.3,46.4,7.59
75,Dan Burn\Dan-Burn,DF,Brighton,22.9,66.2,5.02,21.4,32,16.5,1.88,59.8,0.74,0.96,77.3,0.79,0,36.9,189.7,104.5,3.41,1.09,0.09,1,0.61,45.2,40.2,88.8,1.88
76,Jack Butland\Jack-Butland,GK,Crystal Palace,1,23,19,23,0,0,0,12,0,0,,0,0,8,61,42,0,0,0,0,0,3,3,100,0
77,David Button\David-Button,GK,West Brom,1,39,34,38,1,0,0,24,0,0,,0,0,12,75,45,0,0,0,0,0,13,13,100,0
78,Oskar Buur\Oskar-Buur,DF,Wolves,0.2,85,0,25,60,0,0,80,0,0,,0,0,55,115,85,5,0,0,0,5,70,65,92.9,0
79,Willy Caballero\Willy-Caballero,GK,Chelsea,1,26,21,26,1,0,0,19,0,0,,0,0,12,77,20,0,0,0,0,0,15,15,100,0
80,Gary Cahill\Gary-Cahill,DF,Crystal Palace,20,45.7,8.1,28.8,17.6,1.9,1.3,44.4,0.05,0.1,50,0.05,0,21.8,114.5,53,1.2,0.05,0,0.15,0.1,27.4,26,94.9,0.05
81,Tom Cairney\Tom-Cairney,MF,Fulham,8.4,82,1.19,12.3,45.6,30,1.55,78.3,1.43,2.14,66.7,1.43,0,64.9,325.8,151.1,6.9,2.74,0.12,1.31,0.83,72.6,66.9,92.1,3.69
82,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,31.9,33.4,1.35,3.01,15,17.1,4.89,32.9,0.63,1.44,43.5,0.69,0.09,17.4,94.3,36,1.97,0.69,0.6,3.54,1.57,50.3,25.8,51.3,6.49
83,João Cancelo\Joao-Cancelo,DF,Manchester City,25.5,94.2,3.06,18.6,48.1,33.3,3.14,85.4,1.96,3.41,57.5,2.12,0.39,63.7,295.7,166.3,8.55,2.86,0.86,0.98,1.18,69.5,66.3,95.4,3.57
84,Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,3.9,46.7,0.77,7.44,15.9,28.7,5.64,46.4,3.33,5.64,59.1,3.59,0.77,40,266.2,175.1,8.46,1.54,1.79,3.08,4.36,51.3,34.4,67,8.72
85,Andy Carroll\Andy-Carroll,FW,Newcastle Utd,4.4,45.2,2.73,4.09,23.4,18,5.68,44.3,0.45,1.36,33.3,0.91,0,18,62,29.5,0.68,0.23,0.23,2.95,1.36,56.8,31.6,55.6,7.5
86,Scott Carson\Scott-Carson,GK,Manchester City,1,17,15,17,0,0,0,15,0,0,,0,0,9,18,14,0,0,0,0,0,7,7,100,0
87,Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,2.8,48.9,0.36,5.71,21.8,23.6,6.43,46.8,2.14,4.29,50,2.5,0.36,34.3,176.8,77.1,5.36,0.36,1.43,2.14,3.21,43.6,32.5,74.6,8.93
88,Matty Cash\Matty-Cash,DF,Aston Villa,26.4,61.5,5.27,21.3,29.8,14.1,1.1,52,0.38,0.61,62.5,0.38,0,30.8,178,86.7,3.3,1.4,0.27,0.61,0.57,32.7,30.8,94.3,1.06
89,Kiko Casilla\Kiko-Casilla,GK,Leeds United,3,34.7,32.3,34.7,0,0,0,22.7,0,0,,0,0,14.7,48.7,25.3,0,0,0,0,0,11.3,11.3,100,0
90,Timothy Castagne\Timothy-Castagne,DF,Leicester City,26.1,67.9,2.91,19.7,33.2,18.5,1.49,61.2,0.57,1.15,50,0.57,0,40.7,180.5,99.8,4.98,1.34,0.04,0.88,0.57,49,44.2,90.1,2.45
91,Jonny Castro\Jonny-Castro,DF,Wolves,5.5,54.2,2.73,15.6,25.3,16.7,1.09,44.4,0.73,1.45,50,0.73,0,30.9,176.4,100.4,4.91,1.64,0.36,0.73,2.36,37.1,30,80.9,2
92,Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,27.5,43.6,0.95,5.42,18.3,22.5,3.35,40.9,1.89,3.24,58.4,1.96,0,30.1,182.1,89.6,4.91,1.38,0.84,3.35,2.22,47.3,29.8,63,6.95
93,Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,15.3,31.2,0.78,2.94,13.3,15.6,5.29,30.4,0.39,0.98,40,0.46,0,15.8,56.3,13.5,0.78,0.2,0.07,1.83,0.52,41.9,22.2,53,6.86
94,Dani Ceballos\Dani-Ceballos,MF,Arsenal,17.9,81.7,3.97,20.3,48.2,20.7,1.62,78.9,1.45,2.01,72.2,1.45,0.22,59.1,387.5,207.8,9.22,2.68,0.11,0.73,1.17,62.4,60.1,96.2,2.51
95,Calum Chambers\Calum-Chambers,DF,Arsenal,8.4,80.7,5.12,29.8,32.9,22.7,2.74,70.5,0.36,0.95,37.5,0.36,0.24,46.5,188,114.6,3.93,1.79,0.12,0.71,0.6,52,48.2,92.7,2.5
96,Ben Chilwell\Ben-Chilwell,DF,Chelsea,25.4,83.1,2.36,22,36.2,30.7,3.03,72.2,0.71,1.3,54.5,0.83,0.04,52,276.1,165.6,6.97,2.4,0.43,1.06,1.02,62,55.5,89.6,3.54
97,Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,3.5,79.4,3.14,20.3,53.1,8,0.29,78.6,0,0.29,0,0,0.29,50.3,218,88.3,2.57,0.29,0,0.86,0.57,59.7,53.7,90,0.86
98,Andreas Christensen\Andreas-Christensen,DF,Chelsea,15.2,81.9,11.9,45.9,39.1,2.24,0.46,80.3,0.07,0.13,50,0.13,0,54.8,274.5,156.9,3.55,0.66,0,0.13,0.2,61.2,60.3,98.5,0.07
99,Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,Aston Villa,0.2,60,0,10,20,30,10,60,0,0,,0,0,40,165,80,5,0,0,5,0,105,45,42.9,10
100,Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,21,47.2,8.9,29.6,16.4,2.76,0.86,46.2,0.29,0.43,66.7,0.29,0,23.5,110.7,54,1.19,0.14,0,0.33,0.05,27.5,26,94.3,0.24
101,Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,12.7,52.8,2.99,18.5,25.5,11.6,0.47,42.8,0.24,0.39,60,0.24,0,25,119.4,61.1,2.91,0.94,0,0.24,0.39,28.7,27.1,94.2,0.79
102,Conor Coady\Conor-Coady,DF,Wolves,36.7,56.5,11.4,36.8,21.9,0.46,0.33,55,0.19,0.25,77.8,0.19,0.03,34.9,163.7,71.9,0.79,0.05,0,0.05,0.08,39.8,39.4,98.9,0.05
103,Séamus Coleman\Seamus-Coleman,DFMF,Everton,17.9,54.7,4.41,18.8,25.4,14.4,1.68,49.4,1.12,2.18,51.3,1.17,0.06,34.6,199,96.7,3.91,1.06,0.28,0.95,1.68,36.5,31.9,87.3,2.51
104,Aaron Connolly\Aaron-Connolly,FW,Brighton,8.8,22.8,0.11,1.59,9.55,13.2,4.32,21.7,0.91,1.14,80,0.91,0,14.1,74.4,44,1.93,0.91,0.45,3.3,1.7,40.6,16.3,40.1,7.27
105,Liam Cooper\Liam-Cooper,DF,Leeds United,24.3,76.7,11.2,47.1,31.9,2.14,0.86,75.3,0.12,0.12,100,0.12,0,45.5,266.3,141.9,2.35,0.37,0,0.21,0.25,49.9,49.2,98.6,0.04
106,Theo Corbeanu\Theo-Corbeanu,FW,Wolves,0.1,80,0,20,50,10,0,80,0,0,,0,0,50,160,70,10,0,0,20,10,70,60,85.7,0
107,Jack Cork\Jack-Cork,MF,Burnley,15,41.7,1.8,7.13,26.2,10.5,0.87,41.3,0.2,0.47,42.9,0.33,0,24.1,118.8,47.3,2.2,0.73,0.13,0.6,0.93,29.2,24.4,83.6,1.53
108,Hélder Costa\Helder-Costa,MFFW,Leeds United,12.8,39.2,1.02,8.91,15.9,17.8,3.59,38.8,1.48,3.2,46.3,1.64,0.16,26.8,151.8,94.8,4.38,1.02,0.86,2.11,2.5,39.6,27.4,69.2,4.69
109,Vladimír Coufal\Vladimir-Coufal,DF,West Ham,33.9,60.9,4.6,18.4,26.4,18.9,1.39,50.6,0.53,0.8,66.7,0.53,0.03,29.9,153.1,71.3,3.19,0.91,0.24,0.59,0.53,34.3,30.6,89.1,1.53
110,Aaron Cresswell\Aaron-Cresswell,DF,West Ham,35.2,65.5,5.17,21.8,29.9,16.9,0.51,52.9,0.17,0.43,40,0.23,0.06,36,153,74.3,2.76,1.14,0.09,0.2,0.26,38.8,37.4,96.5,0.85
111,Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,0.3,23.3,0,0,10,16.7,3.33,20,0,0,,0,0,13.3,83.3,23.3,3.33,3.33,0,0,0,43.3,13.3,30.8,6.67
112,Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,37.9,68.8,2.35,19.4,35.6,18.5,1.74,63.1,0.58,0.98,59.5,0.66,0,43.4,247.5,130.3,4.83,1.9,0.4,0.98,1.11,52.2,46,88.3,2.8
113,Scott Dann\Scott-Dann,DF,Crystal Palace,15,48.9,6.67,28.3,21.1,1.67,1,47.1,0.33,0.33,100,0.33,0,24.2,101.8,53.3,1,0.07,0,0.2,0,29.3,28.4,96.8,0.07
114,Karl Darlow\Karl-Darlow,GK,Newcastle Utd,25,32.7,29.2,32.4,0.32,0.04,0.04,19.9,0,0,,0,0,10,58.8,34.7,0,0,0,0.04,0,9.16,9.04,98.7,0
115,Ben Davies\Ben-Davies,DF,Tottenham,15,62.5,5.4,21,31.4,13.9,1,53.1,0.33,0.6,55.6,0.47,0,34.3,153.9,92.7,3.6,1.2,0.27,0.2,0.33,39.1,36.2,92.7,1.67
116,Tom Davies\Tom-Davies,MF,Everton,15.8,54.2,3.61,18.8,32,6.96,0.32,53.6,1.01,1.39,72.7,1.14,0,34,171.6,85.3,3.29,0.76,0.13,0.89,0.95,40.4,36.5,90.3,1.46
117,Keinan Davis\Keinan-Davis,FWMF,Aston Villa,3.1,39.4,0.65,3.23,15.2,23.5,9.68,39,2.26,3.55,63.6,2.58,0,28.1,128.1,74.2,3.55,0.97,0.65,3.55,2.26,57.7,32.3,55.9,13.9
118,Leif Davis\Leif-Davis,DF,Leeds United,0.4,57.5,12.5,37.5,17.5,7.5,0,57.5,2.5,2.5,100,2.5,0,40,347.5,155,2.5,5,0,0,0,47.5,40,84.2,0
119,Craig Dawson\Craig-Dawson,DF,West Ham,21.4,44.2,8.41,26.9,17.5,1.78,1.03,42.9,0,0,,0,0,23.2,123,56.2,0.98,0.23,0,0.23,0,25.7,25,97.1,0.05
120,Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,22.2,75.8,0.59,6.13,34.8,41.3,4.86,69.5,1.8,3.11,58,2.03,0.09,53.5,294.5,189.6,9.59,3.69,1.4,1.58,1.53,66,57.7,87.4,8.24
121,Liam Delap\Liam-Delap,FW,Manchester City,0.4,27.5,0,2.5,17.5,7.5,2.5,17.5,0,0,,0,0,15,7.5,0,0,0,0,5,2.5,40,17.5,43.8,7.5
122,Fabian Delph\Fabian-Delph,MFDF,Everton,3,88,2.33,25.7,54,15,0,84.7,2.67,4,66.7,2.67,0,66,298,150.7,5.67,1.67,0,0.67,0.67,70.7,69,97.6,0.67
123,Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,27.8,51.9,3.74,16.1,29.6,8.74,2.12,51.2,0.4,0.58,68.8,0.4,0.04,27.7,136.9,67.8,2.23,0.47,0.07,0.68,0.32,39.4,34.1,86.7,1.83
124,Mbaye Diagne\Mbaye-Diagne,FW,West Brom,13.2,27.7,1.52,3.71,13.3,11.7,3.64,27,0.98,1.21,81.3,0.98,0,14.5,43,17.2,0.76,0.23,0.23,1.82,1.97,50.5,20.2,40.1,5
125,Amad Diallo\Amad-Diallo,FW,Manchester Utd,1.8,52.2,1.67,11.1,29.4,17.8,2.22,51.7,1.67,5,33.3,1.67,0,41.1,209.4,101.1,3.89,2.78,0,2.22,3.33,48.3,37.2,77,2.22
126,Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,11.3,63.2,2.39,16.8,39.8,10.9,0.88,62.5,0.97,1.5,64.7,1.15,0.09,40.5,184.3,94.2,3.98,1.68,0,0.88,1.86,46.9,43.5,92.6,1.33
127,Grady Diangana\Grady-Diangana,MFFW,West Brom,13.7,42.3,1.46,8.83,17.2,19.2,2.34,41.6,1.75,3.65,48,1.82,0.15,28.5,151.8,98.6,5.04,1.53,0.51,2.48,2.99,41.5,28.1,67.8,5.55
128,Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,26.2,55.3,1.6,7.79,24.6,26.2,5.15,49.9,2.33,4.5,51.7,2.52,0.19,36.5,184.2,118.9,6.18,1.53,1.18,2.75,1.37,51.6,37.3,72.2,6.41
129,Rúben Dias\Ruben-Dias,DF,Manchester City,31.6,92.4,9.02,37.8,59.8,2.25,0.89,91,0.09,0.19,50,0.09,0,68.1,421.6,255,7.28,0.54,0,0.22,0.16,76.2,74.9,98.3,0.35
130,Eric Dier\Eric-Dier,DF,Tottenham,28,69.4,13,41.9,29.8,2.14,0.75,67.5,0.11,0.18,60,0.14,0,42.6,231.4,136.7,2.36,0.39,0.07,0.14,0.07,48.6,47.8,98.2,0.18
131,Lucas Digne\Lucas-Digne,DF,Everton,29.8,67.9,3.59,19,28.8,23.3,1.31,56.3,0.47,0.77,60.9,0.5,0.03,33.2,153,84.2,3.36,1.24,0.13,0.84,1.07,42.6,36.5,85.7,3.79
132,Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,4.1,86.1,6.1,35.6,52,2.2,1.22,85.4,0,0,,0,0,60,217.1,100.7,3.17,0,0,0.24,0,70.5,68.8,97.6,0.73
133,Issa Diop\Issa-Diop,DF,West Ham,15.3,47.4,7.45,24.1,24.4,0.72,0.46,46.4,0.33,0.33,100,0.33,0,25.8,140.3,65.8,1.5,0.13,0,0.2,0.2,29.3,28.2,96.2,0.07
134,Moussa Djenepo\Moussa-Djenepo,MF,Southampton,13.8,46.7,1.38,10.2,22.3,16.9,3.26,45.6,2.54,4.71,53.8,2.97,0.14,32.2,138.6,72.1,4.49,1.16,0.8,2.83,1.67,38,28.4,74.8,4.64
135,Matt Doherty\Matt-Doherty,DF,Tottenham,13.8,72.8,4.57,23.3,34,19.1,1.59,62.5,0.51,1.16,43.8,0.58,0,38.4,167,95.1,4.78,1.52,0.07,0.94,0.87,48.3,43.2,89.5,3.12
