,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Receiving,Receiving
Rk,Player,Pos,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
504,James Ward-Prowse\James-Ward-Prowse,MF,Southampton,38,78.7,2.71,17.8,46.5,18.2,0.61,69.4,0.39,0.61,65.2,0.42,0,40.8,183.8,91.4,3.16,1.08,0.03,0.42,0.45,51.7,47.8,92.4,1.05
505,Ollie Watkins\Ollie-Watkins,FW,Aston Villa,37,35.1,0.78,1.92,13.8,21.5,6.57,33.9,1.3,2.08,62.3,1.41,0.08,22.4,105.2,59.2,3.59,1.03,1.27,3,2.27,52.6,27.3,51.8,9.24
506,Caleb Watts\Caleb-Watts,MFFW,Southampton,0.4,50,2.5,12.5,15,22.5,0,50,0,0,,0,0,30,85,40,5,0,0,0,5,35,32.5,92.9,2.5
507,Adam Webster\Adam-Webster,DF,Brighton,28.8,72,8.16,38.2,34.8,6.74,1.15,70.3,0.24,0.38,63.6,0.31,0,46.9,336.5,220.4,5.63,1.91,0.07,0.56,0.49,51.3,50.1,97.8,0.14
508,Danny Welbeck\Danny-Welbeck,FW,Brighton,17.2,26.1,0.99,2.56,9.07,16,5.47,25.8,0.99,1.63,60.7,1.05,0,18.1,88.8,47.7,2.56,0.64,0.23,2.33,1.4,42.6,18.2,42.7,6.1
509,Timo Werner\Timo-Werner,FW,Chelsea,28.9,40.7,0.21,3.25,16.6,23.9,6.99,39.6,1.04,2.73,38,1.21,0.1,28,179.3,109.1,5.09,1.66,1.97,2.66,1.76,50,31.9,63.9,8.89
510,Ashley Westwood\Ashley-Westwood,MF,Burnley,37.9,62.8,1.74,10.9,38.2,16.5,0.69,56.8,0.32,0.47,66.7,0.37,0,35.9,141.1,64.6,2.56,1,0,0.5,0.5,43.6,40.1,91.9,0.92
511,Ben White\Ben-White,DFMF,Brighton,35.5,58.1,5.66,26.5,28.1,7.61,0.79,56.1,0.68,1.15,58.5,0.87,0,38.8,199.1,106.8,3.04,1.04,0.03,0.31,0.42,41.3,39.5,95.8,0.51
512,Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,32.7,60.6,1.22,10.4,39.3,16.5,1.44,59.6,1.04,1.56,66.7,1.1,0.06,46.4,262.2,124,5.29,2.23,0.18,0.73,0.8,50.9,46,90.3,2.45
513,Brandon Williams\Brandon-Williams,DF,Manchester Utd,2.1,76.7,5.24,33.3,37.6,10.5,0.48,67.6,0.48,2.38,20,0.48,0,51.9,276.2,150.5,5.71,0.95,0,0.95,0.95,54.3,51.9,95.6,1.43
514,Neco Williams\Neco-Williams,DF,Liverpool,2.8,87.1,1.79,20.7,33.2,36.8,3.57,77.1,2.14,3.21,66.7,2.14,0,62.1,276.4,137.1,7.5,1.79,0.36,0.36,0.71,62.9,58.2,92.6,5.36
515,Rhys Williams\Rhys-Williams,DF,Liverpool,7.3,74.4,9.45,37.4,37.1,2.47,1.23,73.4,0.14,0.14,100,0.14,0,45.1,191.5,75.2,1.92,0.27,0,0,0,51.1,50.1,98.1,0.27
516,Willian\Willian,FWMF,Arsenal,15.6,59.6,0.51,7.76,22.8,33.2,2.69,52.9,0.77,1.41,54.5,0.83,0,42.1,270.3,145,8.21,2.69,0.71,0.96,1.35,51.3,43.2,84.3,4.49
517,Joe Willock\Joe-Willock,MF,Arsenal,2.6,51.5,2.69,8.46,26.2,23.5,5.38,51.5,1.15,2.69,42.9,1.15,0,39.2,228.5,99.2,6.92,3.08,0,1.92,4.62,45.4,36.2,79.7,6.54
518,Joe Willock\Joe-Willock,MF,Newcastle Utd,10.9,38.4,2.02,12.6,16.4,12.7,3.58,38.1,2.02,3.12,64.7,2.02,0.18,25.7,141.9,87.8,3.39,1.19,0.55,1.83,2.02,29.1,19.4,66.6,2.94
519,Callum Wilson\Callum-Wilson,FW,Newcastle Utd,23.2,27.4,0.56,2.41,12.5,14.6,4.53,26.2,1.25,2.11,59.2,1.47,0.04,19,99.5,59.2,3.06,1.16,1.03,2.93,2.28,47.3,19.8,41.9,6.51
520,Harry Winks\Harry-Winks,MF,Tottenham,9.6,77.1,3.13,19.6,53,7.71,0.1,75.7,0.42,0.63,66.7,0.52,0,50,214.4,103.2,2.92,0.94,0,0.31,0.73,59,56.8,96.3,0.63
521,Chris Wood\Chris-Wood,FW,Burnley,30.5,31.7,0.75,2.3,13.2,17.3,4.52,31,0.43,0.85,50,0.43,0.07,15.7,49,21.2,1.05,0.49,0.26,2.66,1.77,56.8,24.8,43.6,8.1
522,Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,28,85.6,3.71,22,54.9,14.5,0.43,82.6,0.36,0.68,52.6,0.39,0.07,61.5,312.6,170.9,5.68,1.43,0,0.25,0.68,67.2,64.1,95.4,0.93
523,Andriy Yarmolenko\Andriy-Yarmolenko,FWMF,West Ham,4.2,49.8,0.48,8.33,20.5,25.5,4.29,48.1,1.67,1.67,100,1.67,0.24,39.3,265.2,139,8.1,1.9,0.95,2.14,3.33,52.4,36.7,70,6.43
524,DeAndre Yedlin\DeAndre-Yedlin,DF,Newcastle Utd,4.8,46.3,3.33,16,16.5,15.2,1.04,40,0.21,0.42,50,0.21,0,21,75,51.3,3.33,1.25,0.21,0.63,0.21,29.4,24.2,82.3,1.67
525,Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,14.6,48.9,4.38,16.2,28.6,6.99,0.68,47.9,1.23,1.64,75,1.23,0.07,26.7,121,55.3,1.3,0.62,0.07,0.48,0.82,23.8,21.8,91.6,0.75
526,Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,29,43.1,0.07,3.45,19.3,24.6,5.41,42.3,2.03,4.28,47.6,2.21,0.24,35.7,185.8,112.1,6.28,1.83,1.69,3,3.55,52.6,33.6,63.8,7.97
527,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,28.7,63.1,1.67,14,38.5,16.3,1.85,62.4,3.03,4.15,73.1,3.14,0.1,46.4,270.6,140.3,6.13,2.23,0.45,2.09,2.16,48.4,42.2,87.2,2.89
528,Andi Zeqiri\Andi-Zeqiri,FWDF,Brighton,1.9,34.2,2.11,3.68,11.6,19.5,7.89,33.7,0.53,0.53,100,0.53,0,22.6,94.2,61.6,4.21,0.53,1.05,2.11,1.05,43.2,22.6,52.4,3.68
529,Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,16.4,99,2.74,20.5,57.1,27.1,0.61,89.8,0.3,0.67,45.5,0.3,0.06,61.4,281.4,151.3,7.8,2.32,0.12,0.49,0.3,76,72.4,95.3,2.07
530,Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,13,67.2,0.69,5.62,30.8,34.1,2.85,63.8,1.38,2.62,52.9,1.46,0.31,51.6,196.3,97.6,6,1.69,0.92,1.92,1.46,65.2,52.8,80.9,7.08
531,Kurt Zouma\Kurt-Zouma,DF,Chelsea,22.5,86.9,12.4,44.4,45.7,3.33,1.38,85.7,0.22,0.31,71.4,0.22,0,59.5,312.4,182.6,4.31,0.98,0,0.18,0.31,68,66.9,98.4,0.22
532,Martin Ødegaard\Martin-Odegaard,MF,Arsenal,9.6,61.8,0.63,7.08,28.6,30.1,2.71,56.3,1.25,1.88,66.7,1.25,0,47.6,247.9,123.2,8.13,1.77,0.52,1.25,1.15,57,47.7,83.7,3.96
