Player,Pos,CompetedPasses,AttemptedPasses,PassCmpPercent,KeyPasses,Pass3rd,PassesPA,ProgPasses,xA,Tackles,TacklesWon,TacklesWonPercent,Pressures,SuccPressures,PressuresWonPercent,Tkl+Int,ErrorsLeadingToShots,ThroughBalls,PassesUnderPressure,Switches,Crosses,Touches,LiveTouches,SuccDribbles,AttDribbles,DribbleSuccessPercent,NoPlayersDribbled,Megs,Carries,CarriesTotalDist,CarriesPrgDist,ProgCarries,Carries3rd,CarriesPA
Partey\Thomas-Partey,MF,56.8,65.4,86.9,0.71,7.29,0.59,6.35,0.06,2.76,1.76,38.3,16.2,5.59,34.4,4.29,0,0.12,9.24,1.82,0.12,76.7,75.4,1.35,1.88,71.9,1.41,0.12,57.4,284.7,165.9,7.53,2.76,0.06
Phillips\Kalvin-Phillips,MF,44.8,54.1,82.8,1.26,5.15,0.59,3.85,0.14,2.74,1.63,29.6,23.6,7.11,30.1,4.56,0.04,0.15,5.07,3.96,0.93,65.6,61.3,0.63,1,63,0.67,0.04,38.5,194,84.4,2.22,0.52,0.07
Redmond\Nathan-Redmond,MFFW,29.2,38.5,75.9,1.5,1.81,1.61,3.83,0.17,1.66,0.88,40,19.6,5.49,28,2.59,0,0.16,8.45,0.47,1.76,51.8,49.5,2.28,4.35,52.4,2.59,0.1,37.2,209.9,107.6,6.01,2.18,1.04
Rice\Declan-Rice,MF,40.6,47.1,86.2,0.59,3.53,0.66,2.94,0.07,2.41,1.66,43.6,15.5,4.66,30.1,4.53,0.03,0.13,6.94,1.81,0.91,56.3,55.5,1.03,1.16,89.2,1.03,0,37.4,257,135,5.16,1.84,0.22
Rodri\Rodri,MF,81.8,89.4,91.5,0.89,7.84,0.56,5.11,0.06,2.72,1.97,43.1,16.9,6.43,38.1,4.03,0.07,0.1,13.2,3.18,0.39,99.1,98.1,0.95,1.15,82.9,0.95,0.03,70.4,321.3,159.3,6.3,1.54,0.33
Romeu\Oriol-Romeu,MF,53.2,64.2,82.8,0.71,3.16,0.77,4.44,0.06,3.47,1.79,33.8,17.6,5.31,30.2,4.85,0,0.15,12.6,0.87,0.26,74.6,74,0.56,0.66,84.6,0.56,0.05,45.4,229.8,119.8,5.66,1.99,0.15
Sissoko\Moussa-Sissoko,MF,37.8,45,84.1,0.28,2.84,0.34,2.05,0.03,1.42,1.14,33.3,13.7,4.26,31,2.33,0,0.06,4.89,1.08,0.57,53,50.3,0.97,1.7,56.7,1.14,0,32.6,175.2,86.9,3.81,1.48,0.17
Souček\Tomas-Soucek,MF,31.2,40.5,76.9,0.42,2.68,0.29,2.71,0.04,2.18,1.32,29.1,15.9,4.29,27,3.63,0.03,0.03,9.82,1.03,0.26,53.2,52.6,0.42,0.68,61.5,0.45,0.03,24.9,126.3,53.7,2.21,0.92,0.08
Wijnaldum\Georginio-Wijnaldum,MF,49.8,53.4,93.3,0.67,4.28,0.64,2.84,0.05,0.92,0.73,26.5,13,4.71,36.2,1.68,0.03,0.03,8.07,0.76,0.12,60.6,59.6,1.04,1.56,66.7,1.1,0.06,46.4,262.2,124,5.29,2.23,0.18
Winks\Harry-Winks,MF,57.7,68.5,84.2,0.52,7.6,0.63,5.63,0.03,2.5,1.46,40.9,16.8,5.42,32.3,4.17,0,0.31,6.77,2.19,0.21,77.1,75.7,0.42,0.63,66.7,0.52,0,50,214.4,103.2,2.92,0.94,0
Xhaka\Granit-Xhaka,MFDF,69.5,77.3,89.9,0.64,9.57,1.04,7.61,0.06,2.07,1.32,51.6,12.4,3.43,27.7,2.96,0.04,0.14,8.32,2.54,0.21,85.6,82.6,0.36,0.68,52.6,0.39,0.07,61.5,312.6,170.9,5.68,1.43,0
Anguissa\Andre-Frank-Zambo-Anguissa,MF,41.7,49.1,84.9,0.94,4.67,0.8,3.97,0.08,3.03,1.85,40.4,19.6,5.71,29.2,4.95,0.03,0.14,7.39,0.84,0.45,63.1,62.4,3.03,4.15,73.1,3.14,0.1,46.4,270.6,140.3,6.13,2.23,0.45
Henderson\Jordan-Henderson,MFDF,83.2,95.9,86.8,0.63,10.9,1.59,7.67,0.07,1.01,0.48,27.6,9.79,3.17,32.4,2.59,0.05,0.26,7.09,3.65,0.74,103.3,101.2,0.37,0.69,53.8,0.37,0.05,71.9,435.3,235.8,7.94,2.33,0.05
