Player,Nation,Pos,Age,90s,Carries,CarriesTotDist,CarriesPrgDist,ProgCarries,CarriesFinalThird,CarriesPenaltyArea,MissedCarries,DispCarries,Prog
Kevin De Bruyne\e46012d4,be BEL,MF,28,31,58.5,279.9,182.5,10.7,3.19,1.35,1.39,1.42,8.42
Raheem Sterling\b400bde0,eng ENG,FW,24,29.5,45,227.9,146.1,9.05,2.1,2.27,1.73,2.41,2.95
Rodri\6434f10d,es ESP,MF,23,27.6,75,334.5,181.4,8.01,1.96,0.04,0.36,0.76,5.98
Kyle Walker\86dd77d1,eng ENG,DF,29,26.6,60.9,350.4,194.7,8.57,2.78,0.49,0.53,0.68,5.75
Fernandinho\101da2b5,br BRA,DF,34,26.6,65.8,416.7,273.8,10.5,1.05,0,0.23,0.26,6.2
Bernardo Silva\3eb22ec9,pt POR,FWMF,24,22.6,56.9,325.9,187.4,10.8,2.7,1.77,0.66,0.97,4.38
David Silva\e2716bd0,es ESP,MF,33,20.3,62.1,304.8,164.6,9.21,3.4,1.23,1.43,0.94,6.9
Gabriel Jesus\b66315ae,br BRA,FW,22,22.6,28.6,113.7,54.7,3.41,0.88,0.93,2.26,1.55,1.11
İlkay Gündoğan\819b3158,de GER,MF,28,22.4,67.9,289.5,140.6,8.44,2.37,0.27,0.22,0.54,6.7
Riyad Mahrez\892d5bb1,dz ALG,FWMF,28,21.6,53.4,310.7,171,10.1,2.73,1.94,1.53,1.81,5.56
Nicolás Otamendi\0d267745,ar ARG,DF,31,19.1,63.6,401.1,229.9,4.92,0.37,0,0.37,0.1,2.2
Sergio Agüero\4d034881,ar ARG,FW,31,16.1,26.6,109.2,55.3,4.04,1.24,0.99,1.49,2.55,1.99
Aymeric Laporte\119b9a8e,es ESP,DF,25,12.2,74,485.3,329.3,10.5,1.15,0,0.25,0.08,6.39
Oleksandr Zinchenko\51cf8561,ua UKR,DF,22,14.2,67.7,274.3,157.8,7.32,3.03,0,0.42,0.56,8.45
João Cancelo\bd6351cd,pt POR,DF,25,13.4,72.3,334,177.9,10.9,3.36,0.9,0.82,0.97,6.57
John Stones\5eecec3d,eng ENG,DF,25,12.5,61.3,440.4,265.4,8.48,1.76,0,0.16,0,4.32
Phil Foden\ed1e53f3,eng ENG,FWMF,19,10,48.2,219.3,118,7.3,2.4,1.1,1,2.3,3.2
Eric García\2bed3eab,es ESP,DF,18,8.8,69.4,296.9,163.4,3.75,0.57,0,0.11,0.11,4.55
Angeliño\30941e96,es ESP,DF,22,4.7,68.3,312.6,190.2,11.5,4.68,0,0.64,0.85,8.3
